hostname,acl-name,acl-type,seq number,action,protocol,source,destination,ports
uk-gsh-ss01,INPUT-MEDIA-ENCODER-ACL,Extended,10,permit,ip,any,any,
uk-gsh-ss01,INPUT-MEDIA-ENCODER-ACL,Extended,20,permit,ip,host 10.3.60.242,any,
uk-gsh-ss01,INPUT-MEDIA-ENCODER-ACL,Extended,30,permit,udp,host 10.3.60.242,host 10.18.0.11,50000
uk-gsh-ss01,1,Standard,10,permit,,10.120.163.210,,,
uk-gsh-ss01,1,Standard,20,permit,,10.1.74.66,,,
uk-gsh-ss01,1,Standard,30,permit,,10.180.163.18,,,
uk-gsh-ss01,1,Standard,40,permit,,10.53.33.56,,,
uk-gsh-ss01,1,Standard,50,permit,,10.53.32.93,,,
uk-gsh-ss01,1,Standard,60,permit,,10.210.163.60,,,
uk-gsh-ss01,1,Standard,70,permit,,10.220.163.37,,,
uk-gsh-ss01,1,Standard,80,permit,,10.1.74.29,,,
uk-gsh-ss01,1,Standard,90,permit,,10.53.33.120,,,
uk-gsh-ss01,1,Standard,100,permit,,10.53.33.119,,,
uk-gsh-ss01,1,Standard,110,permit,,10.1.74.48,,,
uk-gsh-ss01,1,Standard,120,permit,,10.53.32.110,,,
uk-gsh-ss01,1,Standard,130,permit,,10.53.32.107,,,
uk-gsh-ss01,1,Standard,140,permit,,10.1.74.57,,,
uk-gsh-ss01,1,Standard,150,permit,,10.1.74.61,,,
uk-gsh-ss01,1,Standard,160,permit,,10.53.32.133,,,
uk-gsh-ss01,1,Standard,170,permit,,10.17.144.32,,,
uk-gsh-ss01,1,Standard,180,permit,,10.120.195.31,,,
uk-gsh-ss01,1,Standard,190,permit,,10.120.143.70,,,
uk-gsh-ss01,1,Standard,200,permit,,10.220.142.230,,,
uk-gsh-ss01,1,Standard,210,permit,,10.1.74.128,,,
uk-gsh-ss01,1,Standard,220,permit,,10.17.100.187,,,
uk-gsh-ss01,1,Standard,230,permit,,10.180.142.230,,,
uk-gsh-ss01,1,Standard,240,permit,,10.120.163.37,,,
uk-gsh-ss01,1,Standard,250,permit,,10.1.82.64 0.0.0.31,,,
uk-gsh-ss01,1,Standard,260,permit,,10.1.82.160 0.0.0.31,,,
uk-gsh-ss01,1,Standard,270,permit,,10.1.22.0 0.0.0.255,,,
uk-gsh-ss01,1,Standard,280,permit,,172.16.41.208 0.0.0.15,,,
uk-gsh-ss01,1,Standard,290,permit,,172.16.64.16 0.0.0.7,,,
uk-gsh-ss01,1,Standard,300,permit,,192.168.2.0 0.0.1.255,,,
uk-gsh-ss01,1,Standard,310,permit,,10.3.99.0 0.0.0.255,,,
uk-gsh-ss01,1,Standard,320,deny,,any log,,,
uk-gsh-ss01,10,Standard,10,permit,,10.120.163.59,,,
uk-gsh-ss01,10,Standard,20,permit,,10.110.163.59,,,
uk-gsh-ss01,11,Standard,10,permit,,10.120.136.140,,,
uk-gsh-ss01,11,Standard,20,permit,,10.50.3.140,,,
uk-gsh-ss01,11,Standard,30,deny,,any log,,,
uk-gsh-ss01,19,Standard,10,permit,,172.16.41.192 0.0.0.31,,,
uk-gsh-ss01,19,Standard,20,permit,,10.1.82.64 0.0.0.31,,,
uk-gsh-ss01,20,Standard,10,permit,,any,,,
