hostname,acl-name,seq number,action
uk-ld6-er01,acl-cacti,10,permit udp host 10.120.163.59 any eq snmp
uk-ld6-er01,acl-cacti,20,deny ipv4 any any log
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,10,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,20,remark Deny IANA special purpose address registry
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,30,remark **************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,40,deny ipv4 0.0.0.0 0.255.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,50,deny ipv4 10.0.0.0 0.255.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,60,deny ipv4 100.64.0.0 0.63.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,70,deny ipv4 127.0.0.0 0.255.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,80,deny ipv4 169.254.0.0 0.0.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,90,deny ipv4 172.16.0.0 0.0.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,100,deny ipv4 192.0.0.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,110,deny ipv4 192.0.0.0 0.0.0.7 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,120,deny ipv4 host 192.0.0.8 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,130,deny ipv4 host 192.0.0.9 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,140,deny ipv4 host 192.0.0.10 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,150,deny ipv4 host 192.0.0.170 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,160,deny ipv4 192.0.2.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,170,deny ipv4 192.31.196.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,180,deny ipv4 192.52.193.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,190,deny ipv4 192.88.99.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,200,deny ipv4 192.168.0.0 0.0.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,210,deny ipv4 192.175.48.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,220,deny ipv4 198.18.0.0 0.1.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,230,deny ipv4 198.51.100.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,240,deny ipv4 203.0.113.0 0.0.0.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,250,deny ipv4 240.0.0.0 15.255.255.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,260,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,270,remark Deny bogons and bad ips and other attacks
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,280,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,290,deny tcp any range 1 1024 141.138.128.0 0.0.7.255 eq www
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,300,deny tcp any range 1 1024 185.119.152.0 0.0.3.255 eq www
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,310,deny udp any 141.138.128.0 0.0.7.255 fragments
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,320,deny udp any 185.119.152.0 0.0.3.255 fragments
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,330,deny ipv4 71.6.128.0 0.0.63.255 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,340,deny ipv4 any host 95.131.186.32
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,350,deny ipv4 any host 141.138.130.12
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,360,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,370,remark Allow BGP and GRE traffic towards infrastructure
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,380,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,390,deny tcp any 141.138.128.0 0.0.7.255 eq bgp
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,400,deny tcp any 185.119.152.0 0.0.3.255 eq bgp
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,410,permit tcp any any eq bgp
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,420,deny gre any 141.138.128.0 0.0.7.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,430,deny gre any 185.119.152.0 0.0.3.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,440,permit gre any any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,450,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,460,remark Allow icmp traffic to infrastructure
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,470,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,480,permit icmp any 141.138.128.0 0.0.7.255 echo-reply
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,490,permit icmp any 141.138.128.0 0.0.7.255 information-request
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,500,permit icmp any 141.138.128.0 0.0.7.255 mask-request
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,510,permit icmp any 141.138.128.0 0.0.7.255 timestamp-request
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,520,permit icmp any 141.138.128.0 0.0.7.255 ttl-exceeded
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,530,permit icmp any 185.119.152.0 0.0.3.255 echo-reply
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,540,permit icmp any 185.119.152.0 0.0.3.255 information-request
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,550,permit icmp any 185.119.152.0 0.0.3.255 mask-request
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,560,permit icmp any 185.119.152.0 0.0.3.255 timestamp-request
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,570,permit icmp any 185.119.152.0 0.0.3.255 ttl-exceeded
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,580,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,590,remark Permit Ipsec traffic towards infrastructure
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,600,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,610,permit udp any 141.138.128.0 0.0.1.255 eq isakmp
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,620,permit udp any 141.138.128.0 0.0.1.255 eq 4500
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,630,permit tcp any 141.138.128.0 0.0.1.255 eq 4500
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,640,permit tcp any 141.138.128.0 0.0.1.255 eq 10000
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,650,permit udp any 141.138.128.0 0.0.1.255 eq 10000
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,660,permit esp any 141.138.128.0 0.0.1.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,670,permit esp any 185.119.152.0 0.0.0.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,680,permit udp any 185.119.152.0 0.0.0.255 eq isakmp
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,690,permit udp any 185.119.152.0 0.0.0.255 eq 4500
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,700,permit tcp any 185.119.152.0 0.0.0.255 eq 4500
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,710,permit udp any 185.119.152.0 0.0.0.255 eq 10000
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,720,permit tcp any 185.119.152.0 0.0.0.255 eq 10000
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,730,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,740,remark Permit https traffic towards checkpoints / RAS
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,750,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,760,permit ipv4 any host 141.138.129.34
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,770,permit ipv4 any host 141.138.129.35
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,780,permit ipv4 any host 141.138.129.40
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,790,permit ipv4 any host 141.138.128.34
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,800,permit ipv4 any host 141.138.128.35
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,810,permit ipv4 any host 141.138.128.36
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,820,permit ipv4 any host 141.138.129.43
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,830,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,840,remark Allow general services and return traffic
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,850,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,860,permit tcp any 141.138.128.0 0.0.7.255 established
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,870,permit tcp any 185.119.152.0 0.0.3.255 established
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,880,permit udp any eq domain 141.138.128.0 0.0.7.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,890,permit udp any eq domain 185.119.152.0 0.0.3.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,900,permit tcp any 141.138.130.0 0.0.0.255 eq domain
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,910,permit tcp any 185.119.152.0 0.0.3.255 eq domain
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,920,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,930,remark Allow all traffic to client Playtech
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,940,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,950,permit ipv4 any 141.138.128.136 0.0.0.7
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,960,permit ipv4 any host 141.138.128.96
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,970,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,980,remark Deny inbound traffic towards infrastructure range
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,990,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1000,deny ipv4 any 141.138.128.0 0.0.0.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1010,deny ipv4 any 141.138.129.0 0.0.0.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1020,deny ipv4 any 185.119.152.0 0.0.0.255
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1030,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1040,remark Pentesting sources mdesc
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1050,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1060,permit ipv4 host 95.154.227.64 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1070,permit ipv4 95.154.227.72 0.0.0.7 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1080,permit ipv4 host 95.154.227.95 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1090,permit ipv4 host 95.154.227.94 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1100,permit ipv4 host 95.154.227.91 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1110,permit ipv4 host 95.154.227.84 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1120,permit ipv4 host 95.154.227.72 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1130,remark ****************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1140,remark Allow specific source hosts
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1150,remark ***************************************************
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1160,permit ipv4 host 95.154.227.13 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1170,permit ipv4 host 94.156.185.44 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1180,permit ipv4 host 92.52.99.114 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1190,permit ipv4 host 92.247.8.98 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1200,permit ipv4 host 87.121.79.4 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1210,permit ipv4 host 81.149.239.118 any
uk-ld6-er01,acl-ipv4-filtering-default-edge_protect-in-1_0_0,1220,permit ipv4 host 80.94.22.241 141.138.135.48 0.0.0.7
