hostname,acl_name,seq_num,remark,action,protocol,src_network,src_operator,src_port,dest_network,dest_operator,dest_port,established_log,logging
mt-msc-cs01,acl-cacti,10,,permit,udp,10.120.163.59/32,,,any,eq,snmp,,
mt-msc-cs01,acl-cacti,20,,deny,ip,any,,,any,,,,log
mt-msc-cs01,acl-management,10,Permit SSH from these addresses,,,,,,,,,,
mt-msc-cs01,acl-management,20,Netbrain,,,,,,,,,,
mt-msc-cs01,acl-management,30,,permit,ip,10.120.163.210/32,,,any,,,,
mt-msc-cs01,acl-management,40,Tufin,,,,,,,,,,
mt-msc-cs01,acl-management,50,,permit,ip,10.120.163.37/32,,,any,,,,
mt-msc-cs01,acl-management,60,,permit,ip,10.180.163.18/32,,,any,,,,
mt-msc-cs01,acl-management,70,,permit,ip,10.210.163.60/32,,,any,,,,
mt-msc-cs01,acl-management,80,,permit,ip,10.220.163.37/32,,,any,,,,
mt-msc-cs01,acl-management,90,Nessus - SCC, CAN, GIB,,,,,,,,,,
mt-msc-cs01,acl-management,100,,permit,ip,10.120.143.70/32,,,any,,,,
mt-msc-cs01,acl-management,110,,permit,ip,10.220.142.230/32,,,any,,,,
mt-msc-cs01,acl-management,120,,permit,ip,10.180.142.230/32,,,any,,,,
mt-msc-cs01,acl-management,130,Adnan-DoS-Box,,,,,,,,,,
mt-msc-cs01,acl-management,140,,permit,ip,10.120.195.31/32,,,any,,,,
mt-msc-cs01,acl-management,150,CWK Network Ops,,,,,,,,,,
mt-msc-cs01,acl-management,160,,permit,ip,10.1.82.64/27,,,any,,,,
mt-msc-cs01,acl-management,170,CWK Server Ops,,,,,,,,,,
mt-msc-cs01,acl-management,180,,permit,ip,10.1.82.160/27,,,any,,,,
mt-msc-cs01,acl-management,190,Gib IT,,,,,,,,,,
mt-msc-cs01,acl-management,200,,permit,ip,10.17.100.187/32,,,any,,,,
mt-msc-cs01,acl-management,210,STJ IT,,,,,,,,,,
mt-msc-cs01,acl-management,220,,permit,ip,10.1.22.0/24,,,any,,,,
mt-msc-cs01,acl-management,230,STJ Network and Servers Ops,,,,,,,,,,
mt-msc-cs01,acl-management,240,,permit,ip,10.1.74.29/32,,,any,,,,
mt-msc-cs01,acl-management,250,,permit,ip,10.1.74.61/32,,,any,,,,
mt-msc-cs01,acl-management,260,,permit,ip,10.1.74.48/32,,,any,,,,
mt-msc-cs01,acl-management,270,,permit,ip,10.1.74.57/32,,,any,,,,
mt-msc-cs01,acl-management,280,,permit,ip,10.1.74.66/32,,,any,,,,
mt-msc-cs01,acl-management,290,,permit,ip,10.1.74.128/32,,,any,,,,
mt-msc-cs01,acl-management,300,Sofia Support team,,,,,,,,,,
mt-msc-cs01,acl-management,310,,permit,ip,10.53.32.93/32,,,any,,,,
mt-msc-cs01,acl-management,320,,permit,ip,10.53.32.107/32,,,any,,,,
mt-msc-cs01,acl-management,330,,permit,ip,10.53.32.110/32,,,any,,,,
mt-msc-cs01,acl-management,340,,permit,ip,10.53.32.133/32,,,any,,,,
mt-msc-cs01,acl-management,350,,permit,ip,10.53.33.56/32,,,any,,,,
mt-msc-cs01,acl-management,360,,permit,ip,10.53.33.119/32,,,any,,,,
