hostname,acl_name,seq_num,remark,action,protocol,src_network,src_operator,src_port,dest_network,dest_operator,dest_port,established_log,logging
uk-ld6-os01,SNMP-CACTI-ACCESS,10,,permit,udp,10.120.163.59/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-CACTI-ACCESS,15,,permit,udp,10.120.163.210/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-CACTI-ACCESS,20,,deny,ip,any,,,any,,,,log
uk-ld6-os01,SNMP-NCS-ACCESS,10,,permit,udp,10.120.136.140/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-NCS-ACCESS,20,,permit,udp,10.120.136.141/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-NCS-ACCESS,30,,permit,udp,10.120.163.122/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-NCS-ACCESS,40,,permit,udp,10.120.163.123/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-NCS-ACCESS,50,,permit,udp,10.112.12.125/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-NCS-ACCESS,60,,permit,udp,10.112.12.126/32,,,any,eq,snmp,,
uk-ld6-os01,SNMP-NCS-ACCESS,70,,deny,ip,any,,,any,,,,log
uk-ld6-os01,acl-smartnet,10,,permit,udp,10.120.129.45/32,,,any,eq,snmp,,
uk-ld6-os01,acl-smartnet,15,,permit,udp,10.112.129.45/32,,,any,eq,snmp,,
uk-ld6-os01,acl-smartnet,20,,deny,ip,any,,,any,,,,log
uk-ld6-os01,hp-oneview,10,,permit,udp,10.210.163.110/32,,,any,eq,snmp,,
uk-ld6-os01,hp-oneview,20,,permit,udp,10.120.163.110/32,,,any,eq,snmp,,
uk-ld6-os01,hp-oneview,30,,permit,udp,10.180.163.110/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,10,,permit,udp,10.120.163.122/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,20,,permit,udp,10.120.163.123/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,30,,permit,udp,10.120.163.142/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,40,,permit,udp,10.120.163.143/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,50,,permit,udp,10.112.12.125/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,60,,permit,udp,10.112.12.126/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,70,,permit,udp,10.112.12.142/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,80,,permit,udp,10.112.12.143/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,90,,permit,udp,10.112.12.144/32,,,any,eq,snmp,,
uk-ld6-os01,solarwinds-new,100,,deny,ip,any,,,any,,,,log
uk-ld6-os01,vty-acl-in,10,,permit,tcp,10.1.82.64/27,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,20,,permit,tcp,192.168.2.0 0.0.1.255,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,30,,permit,tcp,10.112.129.10/32,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,40,,permit,tcp,10.120.163.122/32,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,50,,permit,tcp,10.120.163.123/32,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,60,,permit,tcp,10.112.12.125/32,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,70,,permit,tcp,10.112.12.126/32,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,80,,permit,tcp,100.79.0.0/17,,,any,eq,22,,
uk-ld6-os01,vty-acl-in,90,,permit,ip,10.120.163.122/32,,,any,,,,
uk-ld6-os01,vty-acl-in,100,,permit,ip,10.120.163.123/32,,,any,,,,
uk-ld6-os01,vty-acl-in,110,,permit,ip,10.120.163.142/32,,,any,,,,
uk-ld6-os01,vty-acl-in,120,,permit,ip,10.120.163.143/32,,,any,,,,
uk-ld6-os01,vty-acl-in,130,,permit,ip,10.112.12.125/32,,,any,,,,
uk-ld6-os01,vty-acl-in,140,,permit,ip,10.112.12.126/32,,,any,,,,
uk-ld6-os01,vty-acl-in,150,,permit,ip,10.112.12.142/32,,,any,,,,
uk-ld6-os01,vty-acl-in,160,,permit,ip,10.112.12.143/32,,,any,,,,
uk-ld6-os01,vty-acl-in,170,,permit,ip,10.112.12.144/32,,,any,,,,
uk-ld6-os01,vty-acl-in,180,,permit,ip,10.55.60.0/28,,,any,,,,
uk-ld6-os01,vty-acl-in,190,,permit,ip,192.168.48.0/20,,,any,,,,
uk-ld6-os01,vty-acl-in,200,ras-scc-vpn-pools,,,,,,,,,,
uk-ld6-os01,vty-acl-in,210,,permit,ip,192.168.0.0/21,,,any,,,,
uk-ld6-os01,vty-acl-in,220,,permit,ip,192.168.12.0/22,,,any,,,,
uk-ld6-os01,vty-acl-in,230,,permit,ip,192.168.16.0/22,,,any,,,,
uk-ld6-os01,vty-acl-in,240,,deny,ip,any,,,any,,,,log
