hostname,acl_name,seq_num,remark,action,protocol,src_network,src_operator,src_port,dest_network,dest_operator,dest_port,established_log,logging
uk-sc1-ds03,SNMP-CACTI-ACCESS,10,,permit,udp,10.120.163.59/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-CACTI-ACCESS,15,,permit,udp,10.120.163.210/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-CACTI-ACCESS,20,,deny,ip,any,,,any,,,,log
uk-sc1-ds03,SNMP-NCS-ACCESS,10,,permit,udp,10.120.136.140/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-NCS-ACCESS,20,,permit,udp,10.120.136.141/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-NCS-ACCESS,30,,permit,udp,10.120.163.122/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-NCS-ACCESS,40,,permit,udp,10.120.163.123/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-NCS-ACCESS,50,,permit,udp,10.112.12.125/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-NCS-ACCESS,60,,permit,udp,10.112.12.126/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-NCS-ACCESS,70,,deny,ip,any,,,any,,,,log
uk-sc1-ds03,SNMP-restrict,10,,permit,udp,10.120.163.59/32,,,any,eq,snmp,,
uk-sc1-ds03,SNMP-restrict,20,,deny,ip,any,,,any,,,,log
uk-sc1-ds03,acl-solarwinds,10,,permit,ip,10.120.163.206/32,,,any,,,,
uk-sc1-ds03,acl-solarwinds,20,,deny,ip,any,,,any,,,,log
uk-sc1-ds03,hp-oneview,10,,permit,udp,10.210.163.110/32,,,any,eq,snmp,,
uk-sc1-ds03,hp-oneview,20,,permit,udp,10.120.163.110/32,,,any,eq,snmp,,
uk-sc1-ds03,hp-oneview,30,,permit,udp,10.180.163.110/32,,,any,eq,snmp,,
uk-sc1-ds03,hp-oneview,40,,permit,udp,10.220.163.110/32,,,any,eq,snmp,,
uk-sc1-ds03,management,10,Permit SSH from these addresses,,,,,,,,,,
uk-sc1-ds03,management,20,STJ-IT,,,,,,,,,,
uk-sc1-ds03,management,30,,permit,ip,10.1.22.0/24,,,any,,,,
uk-sc1-ds03,management,40,STJ-Network-Server-Ops,,,,,,,,,,
uk-sc1-ds03,management,50,,permit,ip,10.1.74.29/32,,,any,,,,
uk-sc1-ds03,management,60,,permit,ip,10.1.74.61/32,,,any,,,,
uk-sc1-ds03,management,70,,permit,ip,10.1.74.48/32,,,any,,,,
uk-sc1-ds03,management,80,,permit,ip,10.1.74.57/32,,,any,,,,
uk-sc1-ds03,management,90,,permit,ip,10.1.74.66/32,,,any,,,,
uk-sc1-ds03,management,100,,permit,ip,10.1.74.128/32,,,any,,,,
uk-sc1-ds03,management,110,VPN Subnets,,,,,,,,,,
uk-sc1-ds03,management,120,,permit,ip,192.168.2.0/23,,,any,,,,
uk-sc1-ds03,management,130,Netbrain,,,,,,,,,,
uk-sc1-ds03,management,140,,permit,ip,10.120.163.210/32,,,any,,,,
uk-sc1-ds03,management,150,Tufin,,,,,,,,,,
uk-sc1-ds03,management,160,,permit,ip,10.120.163.37/32,,,any,,,,
uk-sc1-ds03,management,170,,permit,ip,10.180.163.18/32,,,any,,,,
uk-sc1-ds03,management,180,,permit,ip,10.210.163.60/32,,,any,,,,
