hostname,local_interface,remote_device_description
lsj_f3al_retail,GigabitEthernet1/0/2,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/3,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/5,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/11,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/13,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/15,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/16,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/17,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/18,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/19,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/20,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/21,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/23,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/25,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/29,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/34,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/35,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/37,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/39,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/41,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/43,no_data_in_cdp
lsj_f3al_retail,GigabitEthernet1/0/47,no_data_in_cdp
