hostname,local_interface,remote_device_description
lsj_f3al_sw1,GigabitEthernet1/0/3,IP_Phone_SEP501CB0770CE6-Port1
lsj_f3al_sw1,GigabitEthernet1/0/4,IP_Phone_SEP501CB0770CF4-Port1
lsj_f3al_sw1,GigabitEthernet1/0/15,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet1/0/16,IP_Phone_SEP701F538737FC-Port1
lsj_f3al_sw1,GigabitEthernet1/0/18,IP_Phone_SEP501CB0770CE3-Port1
lsj_f3al_sw1,GigabitEthernet1/0/24,IP_Phone_SEP501CB0770CED-Port1
lsj_f3al_sw1,GigabitEthernet1/0/26,IP_Phone_SEP00082F1A525E-Port1
lsj_f3al_sw1,GigabitEthernet1/0/30,IP_Phone_SEP501CB0770D4B-Port1
lsj_f3al_sw1,GigabitEthernet1/0/36,IP_Phone_SEP00082F1A56A7-Port1
lsj_f3al_sw1,GigabitEthernet1/0/39,IP_Phone_SEP501CB0770D20-Port1
lsj_f3al_sw1,GigabitEthernet1/0/45,IP_Phone_SEP501CB0770CEE-Port1
lsj_f3al_sw1,GigabitEthernet1/0/46,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/1,IP_Phone_SEP00082F1A5864-Port1
lsj_f3al_sw1,GigabitEthernet2/0/7,IP_Phone_SEP501CB0770D1B-Port1
lsj_f3al_sw1,GigabitEthernet2/0/8,IP_Phone_SEP501CB076D96D-Port1
lsj_f3al_sw1,GigabitEthernet2/0/9,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/16,IP_Phone_SEP9C57ADB8DBD4-Port1
lsj_f3al_sw1,GigabitEthernet2/0/25,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/26,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/34,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/36,IP_Phone_SEP00082F1A576F-Port1
lsj_f3al_sw1,GigabitEthernet2/0/37,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/41,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet2/0/44,IP_Phone_SEP501CB0770CC7-Port1
lsj_f3al_sw1,GigabitEthernet3/0/5,IP_Phone_SEP501CB0770CF2-Port1
lsj_f3al_sw1,GigabitEthernet3/0/9,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet3/0/11,IP_Phone_SEP501CB0770D12-Port1
lsj_f3al_sw1,GigabitEthernet3/0/16,IP_Phone_SEP00082F1AF57C-Port1
lsj_f3al_sw1,GigabitEthernet3/0/18,IP_Phone_SEP00082F1A4B19-Port1
lsj_f3al_sw1,GigabitEthernet3/0/19,IP_Phone_SEP501CB0770CC4-Port1
lsj_f3al_sw1,GigabitEthernet3/0/27,IP_Phone_SEP501CB0770D0B-Port1
lsj_f3al_sw1,GigabitEthernet3/0/33,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet3/0/37,IP_Phone_SEP00082F1A5323-Port1
lsj_f3al_sw1,GigabitEthernet3/0/46,IP_Phone_SEP501CB0770D35-Port1
lsj_f3al_sw1,GigabitEthernet4/0/1,IP_Phone_SEP501CB0770DAE-Port1
lsj_f3al_sw1,GigabitEthernet4/0/8,IP_Phone_SEP00082F1A521B-Port1
lsj_f3al_sw1,GigabitEthernet4/0/9,IP_Phone_SEP501CB0770D8F-Port1
lsj_f3al_sw1,GigabitEthernet4/0/15,IP_Phone_SEP501CB0770CBF-Port1
lsj_f3al_sw1,GigabitEthernet4/0/19,IP_Phone_SEP501CB0770D04-Port1
lsj_f3al_sw1,GigabitEthernet4/0/21,IP_Phone_SEP501CB0770D8E-Port1
lsj_f3al_sw1,GigabitEthernet4/0/23,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet4/0/24,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet4/0/28,IP_Phone_SEP00082F1A54CA-Port1
lsj_f3al_sw1,GigabitEthernet4/0/35,IP_Phone_SEP9C57ADD36173-Port1
lsj_f3al_sw1,GigabitEthernet4/0/38,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet4/0/43,IP_Phone_SEP6899CD853EB7-Port1
lsj_f3al_sw1,GigabitEthernet4/0/44,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet4/0/45,IP_Phone_SEP501CB0770D48-Port1
lsj_f3al_sw1,GigabitEthernet4/0/46,IP_Phone_SEP501CB0770CFB-Port1
lsj_f3al_sw1,GigabitEthernet5/0/18,IP_Phone_SEP501CB0770D16-Port1
lsj_f3al_sw1,GigabitEthernet5/0/22,IP_Phone_SEPAC44F215E163-Port1
lsj_f3al_sw1,GigabitEthernet5/0/25,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet5/0/27,IP_Phone_SEP501CB0770DB1-Port1
lsj_f3al_sw1,GigabitEthernet5/0/28,UK-STJ-AP03-F03AL-GigabitEthernet0
lsj_f3al_sw1,GigabitEthernet5/0/29,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet5/0/30,UK-STJ-AP01-F03AL-GigabitEthernet0
lsj_f3al_sw1,GigabitEthernet5/0/32,UK-STJ-AP02-F03AL-GigabitEthernet0
lsj_f3al_sw1,GigabitEthernet5/0/33,no_data_in_cdp
lsj_f3al_sw1,GigabitEthernet5/0/47,IP_Phone_SEP501CB0770CAD-Port1
