hostname,local_interface,remote_device_description
uk-gsh-as01-f01,GigabitEthernet1/0/1,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet1/0/7,IP_Phone_SEPBC671CDDFDBC-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/8,IP_Phone_SEP00082F1AF57A-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/10,IP_Phone_SEP00082F1A55C2-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/16,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet1/0/18,IP_Phone_SEP00082F1AF755-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/20,IP_Phone_SEP00082F1AF296-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/22,IP_Phone_SEP00082F1A5871-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/24,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet1/0/26,IP_Phone_SEP00082F1AF641-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/27,IP_Phone_SEPAC44F21687EF-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/28,IP_Phone_SEP00082F1A5297-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/33,IP_Phone_SEP00082F1A5336-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/34,IP_Phone_SEP00082F1A535E-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/35,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet1/0/36,IP_Phone_SEP00082F1A52FC-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/37,IP_Phone_SEP00082F1A5520-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/39,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet1/0/40,IP_Phone_SEP00082F1A56E7-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/41,IP_Phone_SEP00082F1A55E5-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/43,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet1/0/44,IP_Phone_SEP00082F1A5849-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/45,IP_Phone_SEP00082F1AF628-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/46,IP_Phone_SEP00082F1A56AE-Port1
uk-gsh-as01-f01,GigabitEthernet1/0/47,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet2/0/5,IP_Phone_SEP00082F1A53A4-Port1
uk-gsh-as01-f01,GigabitEthernet2/0/11,IP_Phone_SEP00082F1A56A4-Port1
uk-gsh-as01-f01,GigabitEthernet2/0/13,IP_Phone_SEP00082F1A5842-Port1
uk-gsh-as01-f01,GigabitEthernet2/0/15,IP_Phone_SEP00082F1A555D-Port1
uk-gsh-as01-f01,GigabitEthernet2/0/20,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet2/0/23,IP_Phone_SEP00082F1A53FE-Port1
uk-gsh-as01-f01,GigabitEthernet2/0/25,IP_Phone_SEP00082F1A523F-Port1
uk-gsh-as01-f01,GigabitEthernet2/0/29,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet3/0/4,UK-GSH-AP01-F01-GigabitEthernet0
uk-gsh-as01-f01,GigabitEthernet3/0/20,IP_Phone_SEP00082F1A556C-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/22,IP_Phone_SEP00082F1A5747-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/24,IP_Phone_SEP00082F1A59D5-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/26,IP_Phone_SEP00082F1AF54D-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/28,IP_Phone_SEP00082F1A53D2-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/36,IP_Phone_SEP00082F1A55CB-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/38,no_data_in_cdp
uk-gsh-as01-f01,GigabitEthernet3/0/40,IP_Phone_SEP00082F1A5A41-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/42,IP_Phone_SEP6CFA8903A95A-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/44,IP_Phone_SEP00082F1A5781-Port1
uk-gsh-as01-f01,GigabitEthernet3/0/46,no_data_in_cdp
