HOSTNAME,DESCR,NAME,PID,SN,VID
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/4,GLC-SX-MMD,AGJ1932R4AJ,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/2,GLC-SX-MMD,AGJ1932R50C,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/5,GLC-SX-MMD,AGJ1932R74Y,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/7,GLC-SX-MMD,AGJ1932R8LT,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/10,GLC-SX-MMD,AGJ1932R8SM,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/3,GLC-SX-MMD,AGJ1932RB0U,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/6,GLC-SX-MMD,AGJ1932RB0W,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/1,GLC-SX-MMD,AGJ1932RB0Y,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/9,GLC-SX-MMD,AGJ1932RB17,V01
GH-FIBRESWITCH-2,10/100/1000BaseTX SFP,GigabitEthernet1/0/12,,AGM19374C9V,none
GH-FIBRESWITCH-2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-350WAC,ART1934F58Q,V01
GH-FIBRESWITCH-2,WS-C3850-12S,Switch 1,WS-C3850-12S,FCW1942F00G,V02
GH-FIBRESWITCH-2,c3xxx Stack,c3xxx Stack,WS-C3850-12S,FCW1942F00G,V02
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/8,,FNS11441MS9,none
GH-FIBRESWITCH-2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-350WAC,LIT193515UN,V01
