HOSTNAME,DESCR,NAME,PID,SN,VID
GH-WGS-1ST,1000BaseSX SFP,GigabitEthernet3/1/1,Unspecified,AGS091005Q9,none
GH-WGS-1ST,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGS094453VL,none
GH-WGS-1ST,WS-C3750X-48P,3,WS-C3750X-48PF-S,FDO1524R13M,V02
GH-WGS-1ST,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1704X02M,V04
GH-WGS-1ST,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152C9D,V01
GH-WGS-1ST,FRULink 1G Module,Switch 3 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152CZU,V01
GH-WGS-1ST,WS-C3750X-48P,2,WS-C3750X-48P-S,FDO1947F1ED,V07
GH-WGS-1ST,FRU Power Supply,Switch 3 - Power Supply 0,C3KX-PWR-1100WAC,LIT15021KMB,V01L
GH-WGS-1ST,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT17050TT7,V02L
GH-WGS-1ST,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT1708016K,V02L
GH-WGS-1ST,FRU Power Supply,Switch 3 - Power Supply 1,C3KX-PWR-1100WAC,LIT1708017C,V02L
GH-WGS-1ST,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-715WAC,LIT192320QP,V02L
