HOSTNAME,DESCR,NAME,PID,SN,VID
GH-WGS_3RD,1000BaseSX SFP,GigabitEthernet2/1/1,Unspecified,AGS091005MV,none
GH-WGS_3RD,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGS09445BAA,none
GH-WGS_3RD,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1721R2Q4,V05
GH-WGS_3RD,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1721R2U3,V05
GH-WGS_3RD,FRULink 1G Module,Switch 2 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18120FXV,V01
GH-WGS_3RD,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18121FS7,V01
GH-WGS_3RD,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT17180YQ5,V02L
GH-WGS_3RD,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT171810U9,V02L
GH-WGS_3RD,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT171810Z5,V02L
GH-WGS_3RD,FRU Power Supply,Switch 2 - Power Supply 1,C3KX-PWR-1100WAC,LIT1718121G,V02L
