HOSTNAME,DESCR,NAME,PID,SN,VID
GH-WGS_4TH,1000BaseSX SFP,GigabitEthernet3/1/1,Unspecified,AGS091004K0,none
GH-WGS_4TH,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1704Z0U2,V04
GH-WGS_4TH,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152CAZ,V01
GH-WGS_4TH,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1721R2MY,V05
GH-WGS_4TH,WS-C3750X-48P,3,WS-C3750X-48PF-S,FDO1750R2AY,V05
GH-WGS_4TH,FRULink 1G Module,Switch 3 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18040J8W,V01
GH-WGS_4TH,FRULink 1G Module,Switch 2 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18121EV0,V01
GH-WGS_4TH,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,FNS132910QV,none
GH-WGS_4TH,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT17040PJ3,V02L
GH-WGS_4TH,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT1708016P,V02L
GH-WGS_4TH,FRU Power Supply,Switch 2 - Power Supply 1,C3KX-PWR-1100WAC,LIT171810X7,V02L
GH-WGS_4TH,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT171812S3,V02L
GH-WGS_4TH,FRU Power Supply,Switch 3 - Power Supply 0,C3KX-PWR-1100WAC,LIT172010U7,V02L
GH-WGS_4TH,FRU Power Supply,Switch 3 - Power Supply 1,C3KX-PWR-1100WAC,LIT1720121J,V02L
