HOSTNAME,DESCR,NAME,PID,SN,VID
GH_WGS_2ND_1,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGM1539L7YU,none
GH_WGS_2ND_1,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO15380QL5,V01
GH_WGS_2ND_1,FRULink 1G Module,Switch 3 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO15380X23,V01
GH_WGS_2ND_1,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1538K1S9,V02
GH_WGS_2ND_1,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1539V0H1,V02
GH_WGS_2ND_1,WS-C3750X-48P,3,WS-C3750X-48PF-S,FDO1539Z0F1,V02
GH_WGS_2ND_1,1000BaseSX SFP,GigabitEthernet3/1/1,Unspecified,FNS153413ZY,none
GH_WGS_2ND_1,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT15341REK,V02
GH_WGS_2ND_1,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT15341REV,V02
GH_WGS_2ND_1,FRU Power Supply,Switch 3 - Power Supply 0,C3KX-PWR-1100WAC,LIT15341RKN,V02
