HOSTNAME,DESCR,NAME,PID,SN,VID
GH_WGS_5TH,1000BaseSX SFP,GigabitEthernet2/1/1,Unspecified,AGS091005MW,none
GH_WGS_5TH,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGS091005N3,none
GH_WGS_5TH,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1704R0ZZ,V04
GH_WGS_5TH,FRULink 1G Module,Switch 2 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152CAT,V01
GH_WGS_5TH,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1750R29Y,V05
GH_WGS_5TH,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO180404BH,V01
GH_WGS_5TH,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT17040PBD,V02L
GH_WGS_5TH,FRU Power Supply,Switch 2 - Power Supply 1,C3KX-PWR-1100WAC,LIT17080128,V02L
GH_WGS_5TH,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT172011KM,V02L
GH_WGS_5TH,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT172011L4,V02L
