HOSTNAME,DESCR,NAME,PID,SN,VID
GH_WGS_GROUND,1000BaseSX SFP,GigabitEthernet1/1/1,,AGS091005NQ,none
GH_WGS_GROUND,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C2-640WAC,DCB1919B0QB,V02
GH_WGS_GROUND,WS-C3650-48PS,Switch 2,WS-C3650-48PS,FDO1934E3NA,V03
GH_WGS_GROUND,WS-C3650-48PS,Switch 3,WS-C3650-48PS,FDO1945Q1BQ,V03
GH_WGS_GROUND,WS-C3650-48PS,Switch 1,WS-C3650-48PS,FDO1948E0P9,V03
GH_WGS_GROUND,c36xx Stack,c36xx Stack,WS-C3650-48PS,FDO1948E0P9,V03
GH_WGS_GROUND,1000BaseSX SFP,GigabitEthernet3/1/1,,FNS10401HNP,none
GH_WGS_GROUND,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C2-640WAC,LIT19350G65,V02
GH_WGS_GROUND,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C2-640WAC,LIT1944016R,V02
GH_WGS_GROUND,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C2-640WAC,LIT194401D4,V02
GH_WGS_GROUND,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C2-640WAC,LIT194709QT,V02
GH_WGS_GROUND,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C2-640WAC,LIT195102DX,V02
