HOSTNAME,DESCR,NAME,PID,SN,VID
LSJ_F2C1_SW1,1000BaseSX SFP,GigabitEthernet1/1/1,SFP-GE-S,AGM1628P06F,V01
LSJ_F2C1_SW1,WS-C3750X-48P,3,WS-C3750X-48PF-S,FDO1508R0F6,V02
LSJ_F2C1_SW1,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1508Z0DV,V02
LSJ_F2C1_SW1,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1508Z0EV,V02
LSJ_F2C1_SW1,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO15100KUK,V01
LSJ_F2C1_SW1,FRULink 1G Module,Switch 2 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO151012PT,V01
LSJ_F2C1_SW1,FRULink 1G Module,Switch 3 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO151012PX,V01
LSJ_F2C1_SW1,1000BaseSX SFP,GigabitEthernet3/1/1,Unspecified,FNS150519Y8,none
LSJ_F2C1_SW1,FRU Power Supply,Switch 3 - Power Supply 0,C3KX-PWR-1100WAC,LIT144707B5,V01L
LSJ_F2C1_SW1,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT144707DJ,V01L
LSJ_F2C1_SW1,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT144707KX,V01L
LSJ_F2C1_SW1,FRU Power Supply,Switch 2 - Power Supply 1,C3KX-PWR-1100WAC,LIT15100VSF,V01L
LSJ_F2C1_SW1,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT15100VSH,V01L
LSJ_F2C1_SW1,FRU Power Supply,Switch 3 - Power Supply 1,C3KX-PWR-1100WAC,LIT15100W6C,V01L
