HOSTNAME,DESCR,NAME,PID,SN,VID
LSJ_F3AL_RETAIL,SFP-10GBase-SR,Te2/1/3,,AVD2027A5LJ,none
LSJ_F3AL_RETAIL,SFP-10GBase-SR,Te1/1/3,,AVD2027A5M9,none
LSJ_F3AL_RETAIL,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C2-640WAC,DCB2216B0TF,V03
LSJ_F3AL_RETAIL,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C2-640WAC,DCB2216B0WA,V03
LSJ_F3AL_RETAIL,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C2-640WAC,DCB2216B0WL,V03
LSJ_F3AL_RETAIL,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C2-640WAC,DCB2216B0XA,V03
LSJ_F3AL_RETAIL,StackAdapter1/1,StackAdapter1/1,C3650-STACK,FDO221512GK,V01
LSJ_F3AL_RETAIL,StackAdapter2/2,StackAdapter2/2,C3650-STACK,FDO221514YY,V01
LSJ_F3AL_RETAIL,StackAdapter2/1,StackAdapter2/1,C3650-STACK,FDO221515W7,V01
LSJ_F3AL_RETAIL,StackAdapter1/2,StackAdapter1/2,C3650-STACK,FDO221515Y1,V01
LSJ_F3AL_RETAIL,WS-C3650-48PD-S,Switch 2,WS-C3650-48PD-S,FDO2225E14C,V05
LSJ_F3AL_RETAIL,WS-C3650-48PD-S,Switch 1,WS-C3650-48PD-S,FDO2225Q0UB,V05
LSJ_F3AL_RETAIL,c36xx Stack,c36xx Stack,WS-C3650-48PD-S,FDO2225Q0UB,V05
LSJ_F3AL_RETAIL,StackPort1/1,StackPort1/1,STACK-T2-50CM,LCC2216G2F6,V03
LSJ_F3AL_RETAIL,StackPort2/2,StackPort2/2,STACK-T2-50CM,LCC2216G2F6,V03
LSJ_F3AL_RETAIL,StackPort1/2,StackPort1/2,STACK-T2-50CM,LCC2216G2FN,V03
LSJ_F3AL_RETAIL,StackPort2/1,StackPort2/1,STACK-T2-50CM,LCC2216G2FN,V03
