HOSTNAME,DESCR,NAME,PID,SN,VID
LSJ_F3AL_SW1,1000BaseSX SFP,Gi4/1/2,GLC-SX-MMD,AGA1737RLAH,V01
LSJ_F3AL_SW1,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C2-640WAC,DCB2123B2DK,V03
LSJ_F3AL_SW1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C2-640WAC,DCB2127B3ZL,V03
LSJ_F3AL_SW1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C2-640WAC,DCB2127B41F,V03
LSJ_F3AL_SW1,Switch 5 - Power Supply A,Switch 5 - Power Supply A,PWR-C2-640WAC,DCB2131B2TL,V03
LSJ_F3AL_SW1,StackAdapter3/1,StackAdapter3/1,C3650-STACK,FDO20491A0H,V01
LSJ_F3AL_SW1,StackAdapter4/1,StackAdapter4/1,C3650-STACK,FDO205101GQ,V01
LSJ_F3AL_SW1,StackAdapter3/2,StackAdapter3/2,C3650-STACK,FDO205101XM,V01
LSJ_F3AL_SW1,StackAdapter4/2,StackAdapter4/2,C3650-STACK,FDO205102JV,V01
LSJ_F3AL_SW1,StackAdapter1/1,StackAdapter1/1,C3650-STACK,FDO205103WT,V01
LSJ_F3AL_SW1,StackAdapter1/2,StackAdapter1/2,C3650-STACK,FDO2051048D,V01
LSJ_F3AL_SW1,WS-C3650-48PD-S,Switch 4,WS-C3650-48PD-S,FDO2130E1SW,V05
LSJ_F3AL_SW1,c36xx Stack,c36xx Stack,WS-C3650-48PD-S,FDO2130E1SW,V05
LSJ_F3AL_SW1,WS-C3650-48PD-S,Switch 1,WS-C3650-48PD-S,FDO2130E1T0,V05
LSJ_F3AL_SW1,WS-C3650-48PD-S,Switch 2,WS-C3650-48PD-S,FDO2130Q1L2,V05
LSJ_F3AL_SW1,WS-C3650-48PD-S,Switch 3,WS-C3650-48PD-S,FDO2131V0E0,V05
LSJ_F3AL_SW1,StackAdapter2/2,StackAdapter2/2,C3650-STACK,FDO21321UGX,V01
LSJ_F3AL_SW1,StackAdapter2/1,StackAdapter2/1,C3650-STACK,FDO21321UJ0,V01
LSJ_F3AL_SW1,WS-C3650-48PD-S,Switch 5,WS-C3650-48PD-S,FDO2132E1XE,V05
LSJ_F3AL_SW1,StackAdapter5/1,StackAdapter5/1,C3650-STACK,FDO213311FN,V01
LSJ_F3AL_SW1,StackAdapter5/2,StackAdapter5/2,C3650-STACK,FDO2133134C,V01
LSJ_F3AL_SW1,SFP-10GBase-SR,Te1/1/3,SFP-10G-SR,FNS19480045,V03
LSJ_F3AL_SW1,SFP-10GBase-SR,Te5/1/3,SFP-10G-SR,FNS19480239,V03
LSJ_F3AL_SW1,StackPort4/1,StackPort4/1,STACK-T2-50CM,LCC2036G460,V03
LSJ_F3AL_SW1,StackPort5/2,StackPort5/2,STACK-T2-50CM,LCC2036G460,V03
LSJ_F3AL_SW1,StackPort3/1,StackPort3/1,STACK-T2-50CM,LCC2036G484,V03
LSJ_F3AL_SW1,StackPort4/2,StackPort4/2,STACK-T2-50CM,LCC2036G484,V03
LSJ_F3AL_SW1,StackPort1/2,StackPort1/2,STACK-T2-1M,LCC2043GF29,V03
LSJ_F3AL_SW1,StackPort5/1,StackPort5/1,STACK-T2-1M,LCC2043GF29,V03
LSJ_F3AL_SW1,Switch 5 - Power Supply B,Switch 5 - Power Supply B,PWR-C2-640WAC,LIT20423CH7,V03
LSJ_F3AL_SW1,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C2-640WAC,LIT20423CHA,V03
LSJ_F3AL_SW1,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C2-640WAC,LIT213027HG,V03
LSJ_F3AL_SW1,Switch 4 - Power Supply A,Switch 4 - Power Supply A,PWR-C2-640WAC,LIT213027LT,V03
LSJ_F3AL_SW1,Switch 4 - Power Supply B,Switch 4 - Power Supply B,PWR-C2-640WAC,LIT21302JFD,V03
LSJ_F3AL_SW1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C2-640WAC,LIT21302JMD,V03
LSJ_F3AL_SW1,StackPort2/1,StackPort2/1,STACK-T2-50CM,LRM2124108Z,V03
LSJ_F3AL_SW1,StackPort3/2,StackPort3/2,STACK-T2-50CM,LRM2124108Z,V03
LSJ_F3AL_SW1,StackPort1/1,StackPort1/1,STACK-T2-50CM,LRM2124R0LJ,V03
LSJ_F3AL_SW1,StackPort2/2,StackPort2/2,STACK-T2-50CM,LRM2124R0LJ,V03
LSJ_F3AL_SW1,10/100/1000BaseTX SFP,Gi2/1/2,,MTC173107Y7,none
