HOSTNAME,DESCR,NAME,PID,SN,VID
WH-BRS-CORE-SW3,AC power supply,PS 2 WS-CAC-6000W,WS-CAC-6000W,AZS12100GVP,V05
WH-BRS-CORE-SW3,AC power supply,PS 1 WS-CAC-6000W,WS-CAC-6000W,AZS12110C2S,V05
WH-BRS-CORE-SW3,Enhanced 9-slot Fan Tray 1,WS-C6509-E-FAN 1,WS-C6509-E-FAN,DCH11453849,V03
WH-BRS-CORE-SW3,Xenpak Transceiver 10Gbase-SR Te7/1,Transceiver Te7/1,XENPAK-10GB-SR,ONT1148009W,V01
WH-BRS-CORE-SW3,Xenpak Transceiver 10Gbase-SR Te7/2,Transceiver Te7/2,XENPAK-10GB-SR,ONT114800L8,V01
WH-BRS-CORE-SW3,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.6,4,WS-X6748-GE-TX,SAL1152BETF,V02
WH-BRS-CORE-SW3,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.6,2,WS-X6748-GE-TX,SAL1152BH7J,V02
WH-BRS-CORE-SW3,WS-X6704-10GE CEF720 4 port 10-Gigabit Ethernet Rev. 2.6,7,WS-X6704-10GE,SAL1201BTY8,V02
WH-BRS-CORE-SW3,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 8,WS-F6700-CFC,SAL1201C5YZ,V05
WH-BRS-CORE-SW3,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 4,WS-F6700-CFC,SAL1201C7KE,V05
WH-BRS-CORE-SW3,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.7,8,WS-X6748-GE-TX,SAL1202CBK4,V02
WH-BRS-CORE-SW3,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 2,WS-F6700-CFC,SAL1202CC2N,V05
WH-BRS-CORE-SW3,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 1,WS-F6700-CFC,SAL1202CC3J,V05
WH-BRS-CORE-SW3,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 7,WS-F6700-CFC,SAL1202CC3V,V05
WH-BRS-CORE-SW3,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 3,WS-F6700-CFC,SAL1202CCA3,V05
WH-BRS-CORE-SW3,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.7,3,WS-X6748-GE-TX,SAL1202CEMZ,V02
WH-BRS-CORE-SW3,WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3,WS-F6K-PFC3B Policy Feature Card 3 sub-module of 5,WS-F6K-PFC3B,SAL1202CFBK,V01
WH-BRS-CORE-SW3,WS-SUP720 MSFC3 Daughterboard Rev. 3.1,msfc sub-module of 5,WS-SUP720,SAL1202CFLS,none
WH-BRS-CORE-SW3,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.7,1,WS-X6748-GE-TX,SAL1202CGJU,V02
WH-BRS-CORE-SW3,WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.6,5,WS-SUP720-3B,SAL1202CGQB,V05
WH-BRS-CORE-SW3,Cisco Systems Catalyst 6500 9-slot Chassis System,WS-C6509-E,WS-C6509-E,SMC11480036,V04
WH-BRS-CORE-SW3,OSR-7600 Clock FRU 1,CLK-7600 1,CLK-7600,SMT1139B064,none
WH-BRS-CORE-SW3,OSR-7600 Clock FRU 2,CLK-7600 2,CLK-7600,SMT1139B064,none
WH-BRS-CORE-SW3,VTT-E FRU 1,WS-C6K-VTT-E 1,WS-C6K-VTT-E,SMT1140A796,none
WH-BRS-CORE-SW3,VTT-E FRU 3,WS-C6K-VTT-E 3,WS-C6K-VTT-E,SMT1140A956,none
WH-BRS-CORE-SW3,VTT-E FRU 2,WS-C6K-VTT-E 2,WS-C6K-VTT-E,SMT1140B356,none
