HOSTNAME,DESCR,NAME,PID,SN,VID
WH-STJ-CORE-SW2,AC power supply,PS 2 WS-CAC-3000W,WS-CAC-3000W,AZS11430MG3,V01
WH-STJ-CORE-SW2,AC power supply,PS 1 WS-CAC-3000W,WS-CAC-3000W,AZS11430MGE,V01
WH-STJ-CORE-SW2,Enhanced 9-slot Fan Tray 1,WS-C6509-E-FAN 1,WS-C6509-E-FAN,DCH11373880,V03
WH-STJ-CORE-SW2,Xenpak Transceiver 10Gbase-SR Te3/3,Transceiver Te3/3,XENPAK-10GB-SR,ONT1152019K,V02
WH-STJ-CORE-SW2,Xenpak Transceiver 10Gbase-SR Te3/2,Transceiver Te3/2,XENPAK-10GB-SR,ONT115201Y4,V02
WH-STJ-CORE-SW2,Xenpak Transceiver 10Gbase-SR Te3/1,Transceiver Te3/1,XENPAK-10GB-SR,ONT115202NP,V02
WH-STJ-CORE-SW2,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 3,WS-F6700-CFC,SAD1146018Z,V05
WH-STJ-CORE-SW2,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 9,WS-F6700-CFC,SAD11490512,V05
WH-STJ-CORE-SW2,WS-SVC-FWM-1 6 ports Firewall Module Rev. 4.2,1,WS-SVC-FWM-1,SAD115205TW,none
WH-STJ-CORE-SW2,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.7,9,WS-X6748-GE-TX,SAD120208BD,V02
WH-STJ-CORE-SW2,WS-SUP720 MSFC3 Daughterboard Rev. 3.1,msfc sub-module of 6,WS-SUP720,SAL114994WL,none
WH-STJ-CORE-SW2,WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3,WS-F6K-PFC3B Policy Feature Card 3 sub-module of 6,WS-F6K-PFC3B,SAL114997A0,V01
WH-STJ-CORE-SW2,WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.6,6,WS-SUP720-3B,SAL114997G8,V05
WH-STJ-CORE-SW2,WS-X6704-10GE CEF720 4 port 10-Gigabit Ethernet Rev. 2.6,3,WS-X6704-10GE,SAL1151B4RS,V02
WH-STJ-CORE-SW2,WS-F6K-PFC3B Policy Feature Card 3 Rev. 2.3,WS-F6K-PFC3B Policy Feature Card 3 sub-module of 5,WS-F6K-PFC3B,SAL1152B8S2,V01
WH-STJ-CORE-SW2,WS-SUP720 MSFC3 Daughterboard Rev. 3.1,msfc sub-module of 5,WS-SUP720,SAL1152BAE3,none
WH-STJ-CORE-SW2,WS-X6748-GE-TX CEF720 48 port 10/100/1000mb Ethernet Rev. 2.6,8,WS-X6748-GE-TX,SAL1152BAVZ,V02
WH-STJ-CORE-SW2,WS-SUP720-3B 2 ports Supervisor Engine 720 Rev. 5.6,5,WS-SUP720-3B,SAL1152BBD9,V05
WH-STJ-CORE-SW2,WS-F6700-CFC Centralized Forwarding Card Rev. 4.0,WS-F6700-CFC Centralized Forwarding Card sub-module of 8,WS-F6700-CFC,SAL1201C4CG,V05
WH-STJ-CORE-SW2,Cisco Systems Catalyst 6500 9-slot Chassis System,WS-C6509-E,WS-C6509-E,SMG1202N0PZ,V04
WH-STJ-CORE-SW2,OSR-7600 Clock FRU 1,CLK-7600 1,CLK-7600,SMT1143E297,none
WH-STJ-CORE-SW2,OSR-7600 Clock FRU 2,CLK-7600 2,CLK-7600,SMT1143E297,none
WH-STJ-CORE-SW2,VTT-E FRU 1,WS-C6K-VTT-E 1,WS-C6K-VTT-E,SMT1148C310,none
WH-STJ-CORE-SW2,VTT-E FRU 3,WS-C6K-VTT-E 3,WS-C6K-VTT-E,SMT1148C322,none
WH-STJ-CORE-SW2,VTT-E FRU 2,WS-C6K-VTT-E 2,WS-C6K-VTT-E,SMT1148C328,none
