HOSTNAME,DESCR,NAME,PID,SN,VID
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/10,GLC-T,00000MTC154006YK,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/4,GLC-T,00000MTC154007CQ,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet2/5,Unspecified,AGM1840259S,none
gi-mpl-es01,Power Supply ( AC 750W ),Power Supply 1,C4KX-PWR-750AC-R,ART1746X1UH,V01
gi-mpl-es01,Power Supply ( AC 750W ),Power Supply 2,C4KX-PWR-750AC-R,ART1746X1ZL,V01
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet1/2,SFP-10G-SR,FNS1742096G,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet2/4,SFP-10G-SR,FNS174308C5,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet1/11,SFP-10G-SR,FNS17430D84,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet1/13,SFP-10G-SR,FNS17430L19,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet2/8,SFP-10G-SR,FNS17430L1Y,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet1/7,SFP-10G-SR,FNS17430L2L,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet2/1,SFP-10G-SR,FNS180411GN,V03
gi-mpl-es01,SFP-10Gbase-SR,TenGigabitEthernet1/9,SFP-10G-SR,FNS18250VUN,V03
gi-mpl-es01,10GE SFP+,Linecard(slot 2),C4KX-NM-8,JAE17480GHS,V02
gi-mpl-es01,4500X-16 10GE (SFP+),Supervisor(slot 1),WS-C4500X-16,JAE17480J6N,V02
gi-mpl-es01,Cisco Systems,Switch System,,JAE17480J6N,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/12,GLC-T,MTC174307QW,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/14,GLC-T,MTC17430D19,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/16,GLC-T,MTC17430DM8,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/1,GLC-T,MTC17430DV8,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/6,GLC-T,MTC17430DW7,none
gi-mpl-es01,1000BaseT,TenGigabitEthernet1/8,GLC-T,MTC175101XV,none
