HOSTNAME,DESCR,NAME,PID,SN,VID
gib-border1,Cisco ASR1002 AC Power Supply,Power Supply Module 0,ASR1002-PWR-AC,ART1324U01E,V01
gib-border1,Cisco ASR1002 AC Power Supply,Power Supply Module 1,ASR1002-PWR-AC,ART1324U04G,V01
gib-border1,Cisco ASR1002 Chassis,Chassis,ASR1002,FOX1422GU54,V04
gib-border1,2-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/1,SPA-2X1GE-V2,JAE13083FWC,V01
gib-border1,2-port T3/E3 Serial Shared Port Adapter,SPA subslot 0/2,SPA-2XT3/E3,JAE1334GZN6,V02
gib-border1,Cisco ASR1002 Route Processor 1,module R0,ASR1002-RP1,JAE14330B9I,V04
gib-border1,Cisco ASR1000 Embedded Services Processor,module F0,ASR1000-ESP10,JAE173909TF,V06
gib-border1,GE T,subslot 0/0 transceiver 1,N/A,MTC131001ZP,E
gib-border1,GE T,subslot 0/0 transceiver 0,N/A,MTC1310020S,E
gib-border1,GE LX,subslot 0/0 transceiver 2,N/A,OPC12512649,A1B
gib-border1,4-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/0,4XGE-BUILT-IN,none,none
gib-border1,Cisco ASR1002 SPA Interface Processor 10,module 0,ASR1002-SIP10,none,none
