HOSTNAME,DESCR,NAME,PID,SN,VID
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/3,Chassis 1 Transceiver Te1/4/3,X2-10GB-SR,AGA1237XQGG,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/2,Chassis 1 Transceiver Te1/4/2,X2-10GB-SR,AGA1237XRKJ,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/5/5,Chassis 1 Transceiver Te1/5/5,X2-10GB-SR,AGA1238XTYV,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/4,Chassis 1 Transceiver Te1/4/4,X2-10GB-SR,AGA1238XUJZ,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/5/4,Chassis 1 Transceiver Te1/5/4,X2-10GB-SR,AGA1240X11B,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/3,Chassis 2 Transceiver Te2/4/3,X2-10GB-SR,AGA1241X2WA,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/4,Chassis 2 Transceiver Te2/4/4,X2-10GB-SR,AGA1241XZZ8,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/1,Chassis 1 Transceiver Te1/4/1,X2-10GB-SR,AGA1306XWFP,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/2,Chassis 2 Transceiver Te2/4/2,X2-10GB-SR,AGA1306XX3Q,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/1,Chassis 2 Transceiver Te2/4/1,X2-10GB-SR,AGA1306XX78,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/5,Chassis 2 Transceiver Te2/4/5,X2-10GB-SR,AGA1336X98E,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/6,Chassis 2 Transceiver Te2/4/6,X2-10GB-SR,AGA1336X9HC,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/6,Chassis 1 Transceiver Te1/4/6,X2-10GB-SR,AGA1336X9ML,V03
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/5,Chassis 1 Transceiver Te1/4/5,X2-10GB-SR,AGA1336X9YQ,V03
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/8,Chassis 2 Transceiver Te2/4/8,X2-10GB-SR,AGA1429XW3Y,V04
gib-vcore1,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/7,Chassis 2 Transceiver Te2/4/7,X2-10GB-SR,AGA1444XWCN,V04
gib-vcore1,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/7,Chassis 1 Transceiver Te1/4/7,X2-10GB-SR,AGA1445XYMF,V04
gib-vcore1,Chassis 1 AC power supply,Chassis 1 PS 2 WS-CAC-3000W,WS-CAC-3000W,AZS11490E0F,V01
