HOSTNAME,DESCR,NAME,PID,SN,VID
it-ml2-cr01,SFP+ 10GBASE-LR,subslot 0/0 transceiver 0,SFP-10G-LR,AVD2228K7U2,V02
it-ml2-cr01,SFP+ 10GBASE-LR,subslot 0/0 transceiver 1,SFP-10G-LR,AVD2228K7U3,V02
it-ml2-cr01,Cisco ASR1001-X Chassis,Chassis,ASR1001-X,FXS2235Q3DY,V03
it-ml2-cr01,Cisco ASR1001-X Route Processor,module R0,ASR1001-X,JAE22420A01,V03
it-ml2-cr01,Cisco ASR1001-X AC Power Supply,Power Supply Module 1,ASR1001-X-PWR-AC,LIT22283MV7,V02
it-ml2-cr01,Cisco ASR1001-X AC Power Supply,Power Supply Module 0,ASR1001-X-PWR-AC,LIT22283MVT,V02
it-ml2-cr01,GE LX,subslot 0/0 transceiver 2,GLC-LH-SMD,OPM22380B3M,V01
it-ml2-cr01,GE LX,subslot 0/0 transceiver 3,GLC-LH-SMD,OPM22380B3P,V01
it-ml2-cr01,Cisco ASR1001-X Fan Tray,Fan Tray,ASR1001-X-FANTRAY,none,none
it-ml2-cr01,Built-in GE SPA with 2 port 10G and 6 port 1G Interfaces,SPA subslot 0/0,BUILT-IN-2T+6X1GE,none,none
it-ml2-cr01,Cisco ASR1001-X SPA Interface Processor,module 0,ASR1001-X,none,none
it-ml2-cr01,Cisco ASR1001-X Embedded Services Processor,module F0,ASR1001-X,none,none
