HOSTNAME,DESCR,NAME,PID,SN,VID
ph-mak-ar01,GE LX,subslot 0/0 transceiver 5,GLC-LH-SMD,FNS191204E7,A
ph-mak-ar01,Cisco ASR1001-X Chassis,Chassis,ASR1001-X,FXS1912Q1RK,V01
ph-mak-ar01,Cisco ASR1001-X Route Processor,module R0,ASR1001-X,JAE191708GF,V01
ph-mak-ar01,Cisco ASR1001-X AC Power Supply,Power Supply Module 1,ASR1001-X-PWR-AC,LIT19100YW5,V01
ph-mak-ar01,Cisco ASR1001-X AC Power Supply,Power Supply Module 0,ASR1001-X-PWR-AC,LIT19100YX5,V01
ph-mak-ar01,GE T,subslot 0/0 transceiver 3,SP7041-E,MTC181603PL,E
ph-mak-ar01,GE T,subslot 0/0 transceiver 2,SP7041-E,MTC181604LA,E
ph-mak-ar01,GE T,subslot 0/0 transceiver 4,SP7041-E-R,MTC1949039C,none
ph-mak-ar01,Cisco ASR1001-X Fan Tray,Fan Tray,ASR1001-X-FANTRAY,none,none
ph-mak-ar01,8-port Built-in GE SPA,SPA subslot 0/0,BUILT-IN-2T+6X1GE,none,none
ph-mak-ar01,Cisco ASR1001-X SPA Interface Processor,module 0,ASR1001-X,none,none
ph-mak-ar01,Cisco ASR1001-X Embedded Services Processor,module F0,ASR1001-X,none,none
