HOSTNAME,DESCR,NAME,PID,SN,VID
ph-vit-ar02,GE T,subslot 0/0 transceiver 4,SP7041_Rev_F,00000MTC16280A0B,F
ph-vit-ar02,GE LX,subslot 0/0 transceiver 5,GLC-LH-SMD,FNS19111K03,A
ph-vit-ar02,Cisco ASR1001-X Chassis,Chassis,ASR1001-X,FXS1912Q1Q4,V01
ph-vit-ar02,Cisco ASR1001-X Route Processor,module R0,ASR1001-X,JAE191708BJ,V01
ph-vit-ar02,Cisco ASR1001-X AC Power Supply,Power Supply Module 1,ASR1001-X-PWR-AC,LIT19110WR1,V01
ph-vit-ar02,Cisco ASR1001-X AC Power Supply,Power Supply Module 0,ASR1001-X-PWR-AC,LIT19110WSX,V01
ph-vit-ar02,GE T,subslot 0/0 transceiver 3,SP7041-R,MTC19090D9Y,none
ph-vit-ar02,GE T,subslot 0/0 transceiver 2,SP7041-R,MTC19090G1Z,none
ph-vit-ar02,GE LX,subslot 0/0 transceiver 6,GLC-LH-SMD,OPM212900BJ,01
ph-vit-ar02,GE LX,subslot 0/0 transceiver 7,GLC-LH-SMD,OPM212900K9,01
ph-vit-ar02,Cisco ASR1001-X Fan Tray,Fan Tray,ASR1001-X-FANTRAY,none,none
ph-vit-ar02,8-port Built-in GE SPA,SPA subslot 0/0,BUILT-IN-2T+6X1GE,none,none
ph-vit-ar02,Cisco ASR1001-X SPA Interface Processor,module 0,ASR1001-X,none,none
ph-vit-ar02,Cisco ASR1001-X Embedded Services Processor,module F0,ASR1001-X,none,none
