HOSTNAME,DESCR,NAME,PID,SN,VID
pl-krk-vg01,450W AC Power Supply for Cisco ISR4450,Power Supply Module 0,PWR-4450-AC,DCA2142X1G2,V02
pl-krk-vg01,Cisco ISR4351 Route Processor,module R0,ISR4351/K9,FDO214400TA,V04
pl-krk-vg01,Cisco ISR4351 Chassis,Chassis,ISR4351/K9,FDO2147A0L4,V04
pl-krk-vg01,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM subslot 0/1,NIM-1MFT-T1/E1,FOC21141TUA,V04
pl-krk-vg01,PVDM4-64 Voice DSP Module,subslot 0/1 db module 0,PVDM4-64,FOC214000J2,V02
pl-krk-vg01,Front Panel 3 ports Gigabitethernet Module,NIM subslot 0/0,ISR4351-3x1GE,JAB092709EL,V01
pl-krk-vg01,Cisco ISR4450,Fan Tray,ACS-4450-FANASSY,none,none
pl-krk-vg01,Cisco ISR4351 Built-In NIM controller,module 0,ISR4351/K9,none,none
pl-krk-vg01,Cisco ISR4351 Built-In SM controller,module 1,ISR4351/K9,none,none
pl-krk-vg01,Cisco ISR4351 Built-In SM controller,module 2,ISR4351/K9,none,none
pl-krk-vg01,Cisco ISR4351 Forwarding Processor,module F0,ISR4351/K9,none,none
