HOSTNAME,DESCR,NAME,PID,SN,VID
uk-bfa-as01-f03,SFP-10GBase-SR,Te1/1/3,SFP-10G-SR,AVD2125991Z,V03
uk-bfa-as01-f03,SFP-10GBase-SR,Te4/1/3,SFP-10G-SR,AVD21259935,V03
uk-bfa-as01-f03,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C2-640WAC,DCB2133B0TA,V03
uk-bfa-as01-f03,StackAdapter2/2,StackAdapter2/2,C3650-STACK,FDO21390EUP,V01
uk-bfa-as01-f03,StackAdapter3/1,StackAdapter3/1,C3650-STACK,FDO21390EXM,V01
uk-bfa-as01-f03,StackAdapter4/2,StackAdapter4/2,C3650-STACK,FDO21390F2A,V01
uk-bfa-as01-f03,StackAdapter2/1,StackAdapter2/1,C3650-STACK,FDO21390F2P,V01
uk-bfa-as01-f03,StackAdapter1/1,StackAdapter1/1,C3650-STACK,FDO21390G7L,V01
uk-bfa-as01-f03,StackAdapter3/2,StackAdapter3/2,C3650-STACK,FDO21390G7U,V01
uk-bfa-as01-f03,StackAdapter4/1,StackAdapter4/1,C3650-STACK,FDO21390GBK,V01
uk-bfa-as01-f03,StackAdapter1/2,StackAdapter1/2,C3650-STACK,FDO21390GZ0,V01
uk-bfa-as01-f03,WS-C3650-48PD-S,Switch 3,WS-C3650-48PD-S,FDO2141E2E9,V05
uk-bfa-as01-f03,WS-C3650-48PD-S,Switch 4,WS-C3650-48PD-S,FDO2141E2EE,V05
uk-bfa-as01-f03,WS-C3650-48PD-S,Switch 1,WS-C3650-48PD-S,FDO2141Q22P,V05
uk-bfa-as01-f03,WS-C3650-48PD-S,Switch 2,WS-C3650-48PD-S,FDO2141Q23R,V05
uk-bfa-as01-f03,c36xx Stack,c36xx Stack,WS-C3650-48PD-S,FDO2141Q23R,V05
uk-bfa-as01-f03,StackPort1/2,StackPort1/2,STACK-T2-1M,LCC2126G17F,V03
uk-bfa-as01-f03,StackPort4/1,StackPort4/1,STACK-T2-1M,LCC2126G17F,V03
uk-bfa-as01-f03,StackPort1/1,StackPort1/1,STACK-T2-50CM,LCC2133G4G4,V03
uk-bfa-as01-f03,StackPort2/2,StackPort2/2,STACK-T2-50CM,LCC2133G4G4,V03
uk-bfa-as01-f03,StackPort3/1,StackPort3/1,STACK-T2-50CM,LCC2133G4L1,V03
uk-bfa-as01-f03,StackPort4/2,StackPort4/2,STACK-T2-50CM,LCC2133G4L1,V03
uk-bfa-as01-f03,StackPort2/1,StackPort2/1,STACK-T2-50CM,LCC2134GCQ4,V03
uk-bfa-as01-f03,StackPort3/2,StackPort3/2,STACK-T2-50CM,LCC2134GCQ4,V03
uk-bfa-as01-f03,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C2-640WAC,LIT21293FP2,V03
uk-bfa-as01-f03,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C2-640WAC,LIT21293FT6,V03
uk-bfa-as01-f03,Switch 4 - Power Supply B,Switch 4 - Power Supply B,PWR-C2-640WAC,LIT21293FWG,V03
uk-bfa-as01-f03,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C2-640WAC,LIT21293FX4,V03
uk-bfa-as01-f03,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C2-640WAC,LIT21293FX6,V03
uk-bfa-as01-f03,Switch 4 - Power Supply A,Switch 4 - Power Supply A,PWR-C2-640WAC,LIT21293G6S,V03
uk-bfa-as01-f03,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C2-640WAC,LIT21293G6V,V03
