HOSTNAME,DESCR,NAME,PID,SN,VID
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/4,Chassis 1 Transceiver Te1/4/4,X2-10GB-SR,AGA1444XVFD,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/2,Chassis 1 Transceiver Te1/4/2,X2-10GB-SR,AGA1444XVFJ,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/1,Chassis 1 Transceiver Te1/4/1,X2-10GB-SR,AGA1444XZWX,V04
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/3,Chassis 2 Transceiver Te2/4/3,X2-10GB-SR,AGA1444XZXX,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/8,Chassis 1 Transceiver Te1/4/8,X2-10GB-SR,AGA1444XZYF,V04
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/1,Chassis 2 Transceiver Te2/4/1,X2-10GB-SR,AGA1445X02Z,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/7,Chassis 1 Transceiver Te1/4/7,X2-10GB-SR,AGA1445X0B5,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/6,Chassis 1 Transceiver Te1/4/6,X2-10GB-SR,AGA1445X0B6,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/3,Chassis 1 Transceiver Te1/4/3,X2-10GB-SR,AGA1445X0B9,V04
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/4,Chassis 2 Transceiver Te2/4/4,X2-10GB-SR,AGA1445X0CE,V04
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/5,Chassis 1 Transceiver Te1/4/5,X2-10GB-SR,AGA1445X0CF,V04
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/2,Chassis 2 Transceiver Te2/4/2,X2-10GB-SR,AGA1445X0CG,V04
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/5,Chassis 2 Transceiver Te2/4/5,X2-10GB-SR,AGA1628X01B,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/7,Chassis 2 Transceiver Te2/4/7,X2-10GB-SR,AGA1628X03F,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/8,Chassis 2 Transceiver Te2/4/8,X2-10GB-SR,AGA1628X1JZ,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/4/6,Chassis 2 Transceiver Te2/4/6,X2-10GB-SR,AGA1629X1YK,V06
uk-brs-cs01,Chassis 1 AC power supply,Chassis 1 PS 1 WS-CAC-6000W,WS-CAC-6000W,ART1924F077,V06
uk-brs-cs01,Chassis 1 AC power supply,Chassis 1 PS 2 WS-CAC-6000W,WS-CAC-6000W,ART1924F07G,V06
uk-brs-cs01,Chassis 2 AC power supply,Chassis 2 PS 2 WS-CAC-6000W,WS-CAC-6000W,ART1924F07J,V06
uk-brs-cs01,Chassis 2 AC power supply,Chassis 2 PS 1 WS-CAC-6000W,WS-CAC-6000W,ART1924F07V,V06
uk-brs-cs01,Chassis 2 Enhanced 9-slot Fan Tray 1,Chassis 2 WS-C6509-E-FAN 1,WS-C6509-E-FAN,DCH11271642,V03
uk-brs-cs01,Chassis 1 Enhanced 9-slot Fan Tray 1,Chassis 1 WS-C6509-E-FAN 1,WS-C6509-E-FAN,DCH11453820,V03
uk-brs-cs01,Chassis 2 Xenpak Transceiver 10Gbase-SR Te2/1/1,Chassis 2 Transceiver Te2/1/1,XENPAK-10GB-SR,FNS14450C8R,none
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/1,Chassis 1 Transceiver Te1/3/1,X2-10GB-SR,FNS19100T09,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/2,Chassis 1 Transceiver Te1/3/2,X2-10GB-SR,FNS19100T0L,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/3,Chassis 1 Transceiver Te1/3/3,X2-10GB-SR,FNS19100T0P,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/4,Chassis 1 Transceiver Te1/3/4,X2-10GB-SR,FNS19100T0S,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/7,Chassis 1 Transceiver Te1/3/7,X2-10GB-SR,FNS19100Y47,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/8,Chassis 1 Transceiver Te1/3/8,X2-10GB-SR,FNS19100Y4J,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/6,Chassis 1 Transceiver Te1/3/6,X2-10GB-SR,FNS19100Y8P,V06
uk-brs-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/5,Chassis 1 Transceiver Te1/3/5,X2-10GB-SR,FNS19100Y8Z,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/4,Chassis 2 Transceiver Te2/3/4,X2-10GB-SR,FNS19101GZH,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/2,Chassis 2 Transceiver Te2/3/2,X2-10GB-SR,FNS19101H57,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/3,Chassis 2 Transceiver Te2/3/3,X2-10GB-SR,FNS19101H58,V06
uk-brs-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/1,Chassis 2 Transceiver Te2/3/1,X2-10GB-SR,FNS19101H5A,V06
