HOSTNAME,DESCR,NAME,PID,SN,VID
uk-brs-ds01,O2 48X10GE/Modular Supervisor,Module 1,N5K-C5596UP,FOC17106V1P,V01
uk-brs-ds01,Fabric Extender Module,FEX 101 Module 1,N2K-C2248TP-E-1GE,FOC173772R3,V02
uk-brs-ds01,Fabric Extender Module,FEX 103 Module 1,N2K-C2248TP-E-1GE,FOC19356H31,V02
uk-brs-ds01,Fabric Extender Module,FEX 105 Module 1,N2K-C2248TP-E-1GE,FOC19356HBH,V02
uk-brs-ds01,Nexus 5596 Chassis,Chassis,N5K-C5596UP,FOX1709GMM7,V01
uk-brs-ds01,N2K-C2248TP-E-1GE  CHASSIS,FEX 103 CHASSIS,N2K-C2248TP-E-1GE,FOX1936GDE0,V02
uk-brs-ds01,N2K-C2248TP-E-1GE  CHASSIS,FEX 105 CHASSIS,N2K-C2248TP-E-1GE,FOX1936GDEM,V02
uk-brs-ds01,Fabric Extender AC power supply,FEX 101 Power Supply 1,N2200-PAC-400W-B,LIT17191P5A,V02
uk-brs-ds01,Fabric Extender AC power supply,FEX 101 Power Supply 2,N2200-PAC-400W-B,LIT17191P87,V02
uk-brs-ds01,Fabric Extender AC power supply,FEX 103 Power Supply 2,N2200-PAC-400W,LIT19340240,V05
uk-brs-ds01,Fabric Extender AC power supply,FEX 103 Power Supply 1,N2200-PAC-400W,LIT1934024D,V05
uk-brs-ds01,Fabric Extender AC power supply,FEX 105 Power Supply 2,N2200-PAC-400W,LIT1934058U,V05
uk-brs-ds01,Fabric Extender AC power supply,FEX 105 Power Supply 1,N2200-PAC-400W,LIT1934058W,V05
uk-brs-ds01,Fabric Extender Fan module,FEX 101 Fan 1,N2K-C2248-FAN-B,N/A,N/A
uk-brs-ds01,Fabric Extender Fan module,FEX 103 Fan 1,N2K-C2248-FAN,N/A,N/A
uk-brs-ds01,Fabric Extender Fan module,FEX 105 Fan 1,N2K-C2248-FAN,N/A,N/A
uk-brs-ds01,Chassis fan module,Fan 1,N5596UP-FAN-B,N/A,N/A
uk-brs-ds01,Chassis fan module,Fan 2,N5596UP-FAN-B,N/A,N/A
uk-brs-ds01,Chassis fan module,Fan 3,N5596UP-FAN-B,N/A,N/A
uk-brs-ds01,Chassis fan module,Fan 4,N5596UP-FAN-B,N/A,N/A
uk-brs-ds01,AC power supply,Power supply 1,N55-PAC-1100W-B,POG17436L8X,V02
uk-brs-ds01,AC power supply,Power supply 2,N55-PAC-1100W-B,POG17536LD3,V03
uk-brs-ds01,N2K-C2248TP-E-1GE  CHASSIS,FEX 101 CHASSIS,N2K-C2248TP-E-1GE,SSI17290DVQ,V02
