HOSTNAME,DESCR,NAME,PID,SN,VID
uk-brs-ppds02,AC power supply,Power supply 2,N55-PAC-750W,ART183811E5,V02
uk-brs-ppds02,AC power supply,Power supply 1,N55-PAC-750W,ART1845104Q,V02
uk-brs-ppds02,Fabric Extender AC power supply,FEX 104 Power Supply 1,N2200-PAC-400W,DTN1843P2PF,V04
uk-brs-ppds02,Fabric Extender AC power supply,FEX 104 Power Supply 2,N2200-PAC-400W,DTN1843P2PJ,V04
uk-brs-ppds02,Fabric Extender Module,FEX 104 Module 1,N2K-C2248TP-1GE,FOC18475MC4,V04
uk-brs-ppds02,O2 Non L3 Daughter Card,Module 3,N55-DL2,FOC18479NSY,V02
uk-brs-ppds02,O2 32X10GE/Modular Universal Platform Supervisor,Module 1,N5K-C5548UP,FOC18484UAY,V01
uk-brs-ppds02,O2 16 port flexible GEM,Module 2,N55-M16UP,FOC19227V5A,V01
uk-brs-ppds02,N2K-C2248TP-1GE  CHASSIS,FEX 104 CHASSIS,N2K-C2248TP-1GE,FOX1847G3RM,V04
uk-brs-ppds02,Fabric Extender Fan module,FEX 104 Fan 1,N2K-C2248-FAN,N/A,N/A
uk-brs-ppds02,Chassis fan module,Fan 1,N5548P-FAN,N/A,N/A
uk-brs-ppds02,Chassis fan module,Fan 2,N5548P-FAN,N/A,N/A
uk-brs-ppds02,Nexus5548 Chassis,Chassis,N5K-C5548UP,SSI183800S8,V01
