HOSTNAME,DESCR,NAME,PID,SN,VID
uk-cwk-ar02,GE T,subslot 0/0 transceiver 2,GLC-T,AGM180421G6,A
uk-cwk-ar02,Cisco ASR1001-X Chassis,Chassis,ASR1001-X,FXS2145Q18A,V03
uk-cwk-ar02,Cisco ASR1001-X Route Processor,module R0,ASR1001-X,JAE21470C5Y,V03
uk-cwk-ar02,Cisco ASR1001-X AC Power Supply,Power Supply Module 1,ASR1001-X-PWR-AC,LIT2131293R,V01
uk-cwk-ar02,Cisco ASR1001-X AC Power Supply,Power Supply Module 0,ASR1001-X-PWR-AC,LIT21312CLE,V01
uk-cwk-ar02,GE SX,subslot 0/0 transceiver 3,GLC-SX-MM,OPA12254485,none
uk-cwk-ar02,GE SX,subslot 0/0 transceiver 4,TRF2715BALB402,OPL15230424,A1B
uk-cwk-ar02,Cisco ASR1001-X Fan Tray,Fan Tray,ASR1001-X-FANTRAY,none,none
uk-cwk-ar02,Built-in GE SPA with 2 port 10G and 6 port 1G Interfaces,SPA subslot 0/0,BUILT-IN-2T+6X1GE,none,none
uk-cwk-ar02,Cisco ASR1001-X SPA Interface Processor,module 0,ASR1001-X,none,none
uk-cwk-ar02,Cisco ASR1001-X Embedded Services Processor,module F0,ASR1001-X,none,none
