HOSTNAME,DESCR,NAME,PID,SN,VID
uk-ld6-dm01,Cisco ASR1002 AC Power Supply,Power Supply Module 0,ASR1002-PWR-AC,ART1520U0HH,V02
uk-ld6-dm01,Cisco ASR1002 AC Power Supply,Power Supply Module 1,ASR1002-PWR-AC,ART1520U0HU,V02
uk-ld6-dm01,Cisco ASR1002 Chassis,Chassis,ASR1002,FOX1503GN4K,V05
uk-ld6-dm01,Cisco ASR1000 Embedded Services Processor,module F0,ASR1000-ESP10,JAE1503050I,V05
uk-ld6-dm01,5-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/1,SPA-5X1GE-V2,JAE151203WS,V02
uk-ld6-dm01,Cisco ASR1002 Route Processor 1,module R0,ASR1002-RP1,JAE151908FM,V04
uk-ld6-dm01,Cisco ASR1002 SPA Interface Processor 10,module 0,ASR1002-SIP10,JAE152001ZD,V04
uk-ld6-dm01,GE T,subslot 0/0 transceiver 0,N/A,MTC152001D6,E
uk-ld6-dm01,GE T,subslot 0/1 transceiver 0,N/A,MTC152001F6,E
uk-ld6-dm01,GE T,subslot 0/0 transceiver 1,N/A,MTC18080ZMU,E
uk-ld6-dm01,4-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/0,4XGE-BUILT-IN,N/A,V00
