HOSTNAME,DESCR,NAME,PID,SN,VID
uk-ld6-or01,250W AC Power Supply for Cisco ISR 4330,Power Supply Module 0,PWR-4330-AC,DCA211514D4,V02
uk-ld6-or01,Cisco ISR4331 Route Processor,module R0,ISR4331/K9,FDO213008D6,V04
uk-ld6-or01,Cisco ISR4331 Chassis,Chassis,ISR4331/K9,FDO2131A08A,V04
uk-ld6-or01,NIM-VAB-A - Multi-mode xDSL with VDSL bonding and ADSL1/2/2+ Annex A over POTS,NIM subslot 0/1,NIM-VAB-A,FOC211858NM,V01
uk-ld6-or01,UCS-E140S-M2/K9 - UCSE SW Module,SM subslot 1/0,UCS-E140S-M2/K9,FOC21196UAV,V01
uk-ld6-or01,Front Panel 3 ports Gigabitethernet Module,NIM subslot 0/0,ISR4331-3x1GE,JAB092709EL,V01
uk-ld6-or01,Cisco ISR4330 Fan Assembly,Fan Tray,ACS-4330-FANASSY,none,none
uk-ld6-or01,Cisco ISR4331 Built-In NIM controller,module 0,ISR4331/K9,none,none
uk-ld6-or01,Cisco ISR4331 Built-In SM controller,module 1,ISR4331/K9,none,none
uk-ld6-or01,Cisco ISR4331 Forwarding Processor,module F0,ISR4331/K9,none,none
