HOSTNAME,DESCR,NAME,PID,SN,VID
uk-man-rr01,Cisco ASR1001 Route Processor,module R0,ASR1001,JAE1820069C,V03
uk-man-rr01,Cisco ASR1001 AC Power Supply,Power Supply Module 1,ASR1001-PWR-AC,MP5173202LL,V02
uk-man-rr01,Cisco ASR1001 AC Power Supply,Power Supply Module 0,ASR1001-PWR-AC,MP51732030H,V02
uk-man-rr01,GE T,subslot 0/0 transceiver 0,N/A,MTC16250GGG,E
uk-man-rr01,GE T,subslot 0/0 transceiver 2,N/A,MTC18080X5N,E
uk-man-rr01,2-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/1,SPA-2X1GE-V2,SAL1733BH6Y,V03
uk-man-rr01,Cisco ASR1001 Chassis w/o IDC,Chassis,ASR1001,SSI1810027G,V03
uk-man-rr01,4-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/0,ASR1001,none,none
uk-man-rr01,Cisco ASR1001 SPA Interface Processor,module 0,ASR1001,none,none
uk-man-rr01,Cisco ASR1001 Embedded Services Processor,module F0,ASR1001,none,none
