HOSTNAME,DESCR,NAME,PID,SN,VID
uk-mdc-ar01,4-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/0,ASR1001,JAE1628042P,V00
uk-mdc-ar01,Cisco ASR1001 SPA Interface Processor,module 0,ASR1001,JAE1628042P,V02
uk-mdc-ar01,Cisco ASR1001 Embedded Services Processor,module F0,ASR1001,JAE1628042P,V02
uk-mdc-ar01,Cisco ASR1001 Route Processor,module R0,ASR1001,JAE1628042P,V02
uk-mdc-ar01,Cisco ASR1001 AC Power Supply,Power Supply Module 1,ASR1001-PWR-AC,MP51633002M,V02
uk-mdc-ar01,Cisco ASR1001 AC Power Supply,Power Supply Module 0,ASR1001-PWR-AC,MP51633008Z,V02
uk-mdc-ar01,GE T,subslot 0/0 transceiver 0,N/A,MTC16160RMK,E
uk-mdc-ar01,GE T,subslot 0/0 transceiver 1,N/A,MTC16160RQ2,E
uk-mdc-ar01,GE T,subslot 0/0 transceiver 2,N/A,MTC162005X7,E
uk-mdc-ar01,Cisco ASR1001 Chassis w/o IDC,Chassis,ASR1001,SSI162600GC,V02
