HOSTNAME,DESCR,NAME,PID,SN,VID
uk-sc1-cr02,SFP Transceiver 1000BaseSX Te5/3,Transceiver Te5/3,GLC-SX-MMD,AGA1709R212,V01
uk-sc1-cr02,SFP Transceiver 1000BaseSX Te5/12,Transceiver Te5/12,GLC-SX-MMD,AGA1709R230,V01
uk-sc1-cr02,SFP Transceiver 10/100/1000BaseT Te5/9,Transceiver Te5/9,Unspecified,AGM1643236B,Unspecified
uk-sc1-cr02,SFP+ Transceiver 10Gbase-SR Te5/7,Transceiver Te5/7,SFP-10G-SR,AVD1932ACAU,V03
uk-sc1-cr02,SFP+ Transceiver 10Gbase-SR Te5/10,Transceiver Te5/10,SFP-10G-SR,AVD1932ACB8,V03
uk-sc1-cr02,SFP+ Transceiver 10Gbase-SR Te5/1,Transceiver Te5/1,SFP-10G-SR,AVD1932ACBG,V03
uk-sc1-cr02,SFP+ Transceiver 10Gbase-SR Te5/6,Transceiver Te5/6,SFP-10G-SR,AVD1932ACBW,V03
uk-sc1-cr02,SFP+ Transceiver 10Gbase-SR Te5/2,Transceiver Te5/2,SFP-10G-SR,AVD1932ACC1,V03
uk-sc1-cr02,SFP+ Transceiver 10Gbase-SR Te5/4,Transceiver Te5/4,SFP-10G-SR,AVD1932ACDP,V03
uk-sc1-cr02,AC power supply,PS 1 C6880-X-3KW-AC,C6880-X-3KW-AC,DTM1932013B,V01
uk-sc1-cr02,AC power supply,PS 2 C6880-X-3KW-AC,C6880-X-3KW-AC,DTM1932013E,V01
uk-sc1-cr02,SFP Transceiver 1000BaseSX Te5/16,Transceiver Te5/16,GLC-SX-MMD,FNS18160NX5,V01
uk-sc1-cr02,SFP+ Transceiver 10Gbase-LR Te5/8,Transceiver Te5/8,SFP-10G-LR,FNS19360UUA,V02
uk-sc1-cr02,C6880-X Fan Tray 1,C6880-X-FAN 1,C6880-X-FAN,FOX1928XE6S,V01
uk-sc1-cr02,SFP Transceiver 10/100/1000BaseT Te5/11,Transceiver Te5/11,Unspecified,MTC18080X5H,Unspecified
uk-sc1-cr02,SFP Transceiver 10/100/1000BaseT Te5/5,Transceiver Te5/5,Unspecified,MTC18080X8E,Unspecified
uk-sc1-cr02,C6880-X-SUP 20 ports 6880-X 16P SFP+ Multi-Rate Rev. 1.2,5,C6880-X-SUP,SAL1932LYR7,none
uk-sc1-cr02,C6880-X-PFC Policy Feature Card 4 Rev. 1.2,C6880-X-PFC Policy Feature Card 4 EARL 1 sub-module of 5,C6880-X-PFC,SAL1933MDXP,none
uk-sc1-cr02,Cisco Systems,C6880-X,C6880-X,SAL1935N6YT,V01
