HOSTNAME,DESCR,NAME,PID,SN,VID
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/4/8,Chassis 1 Transceiver Te1/4/8,X2-10GB-SR,AGA1536X3NB,V05
uk-sc1-cs01,Chassis 2 AC power supply,Chassis 2 PS 2 WS-CAC-6000W,WS-CAC-6000W,AZS15160A5Q,V05
uk-sc1-cs01,Chassis 2 AC power supply,Chassis 2 PS 1 WS-CAC-6000W,WS-CAC-6000W,DCH1125Y08Y,V04
uk-sc1-cs01,Chassis 1 AC power supply,Chassis 1 PS 2 WS-CAC-6000W,WS-CAC-6000W,DCH1501Y05H,V05
uk-sc1-cs01,Chassis 1 AC power supply,Chassis 1 PS 1 WS-CAC-6000W,WS-CAC-6000W,DCH1503Y07M,V05
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/8,Chassis 1 Transceiver Te1/3/8,X2-10GB-SR,FNS19100T1G,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/7,Chassis 1 Transceiver Te1/3/7,X2-10GB-SR,FNS19100T1L,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/6,Chassis 1 Transceiver Te1/3/6,X2-10GB-SR,FNS19100T1N,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/5,Chassis 1 Transceiver Te1/3/5,X2-10GB-SR,FNS19100T1Q,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/2,Chassis 2 Transceiver Te2/3/2,X2-10GB-SR,FNS19100TGA,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/4,Chassis 2 Transceiver Te2/3/4,X2-10GB-SR,FNS19100TGG,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/3,Chassis 2 Transceiver Te2/3/3,X2-10GB-SR,FNS19100TGP,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/1,Chassis 2 Transceiver Te2/3/1,X2-10GB-SR,FNS19100TGQ,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/7,Chassis 2 Transceiver Te2/3/7,X2-10GB-SR,FNS191015E8,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/6,Chassis 2 Transceiver Te2/3/6,X2-10GB-SR,FNS191015EK,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/5,Chassis 2 Transceiver Te2/3/5,X2-10GB-SR,FNS191015EZ,V06
uk-sc1-cs01,Chassis 2 X2 Transceiver 10Gbase-SR Te2/3/8,Chassis 2 Transceiver Te2/3/8,X2-10GB-SR,FNS19101644,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/4,Chassis 1 Transceiver Te1/3/4,X2-10GB-SR,FNS191124XW,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/3,Chassis 1 Transceiver Te1/3/3,X2-10GB-SR,FNS19112GAG,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/2,Chassis 1 Transceiver Te1/3/2,X2-10GB-SR,FNS19112GAN,V06
uk-sc1-cs01,Chassis 1 X2 Transceiver 10Gbase-SR Te1/3/1,Chassis 1 Transceiver Te1/3/1,X2-10GB-SR,FNS19112GAU,V06
