HOSTNAME,DESCR,NAME,PID,SN,VID
uk-sc1-er01,SFP+ Transceiver 10Gbase-SR Te5/3,Transceiver Te5/3,SFP-10G-SR,AVD1932AAV3,V03
uk-sc1-er01,SFP+ Transceiver 10Gbase-SR Te5/5,Transceiver Te5/5,SFP-10G-SR,AVD1932ABCT,V03
uk-sc1-er01,SFP+ Transceiver 10Gbase-SR Te5/1,Transceiver Te5/1,SFP-10G-SR,AVD1932ACAR,V03
uk-sc1-er01,SFP+ Transceiver 10Gbase-SR Te5/12,Transceiver Te5/12,SFP-10G-SR,AVD1932ACC6,V03
uk-sc1-er01,SFP+ Transceiver 10Gbase-SR Te5/2,Transceiver Te5/2,SFP-10G-SR,AVD1932ACDK,V03
uk-sc1-er01,SFP+ Transceiver 10Gbase-SR Te5/9,Transceiver Te5/9,SFP-10G-SR,AVD1932ACEX,V03
uk-sc1-er01,AC power supply,PS 2 C6880-X-3KW-AC,C6880-X-3KW-AC,DTM193200X2,V01
uk-sc1-er01,AC power supply,PS 1 C6880-X-3KW-AC,C6880-X-3KW-AC,DTM193201CA,V01
uk-sc1-er01,SFP Transceiver 1000BaseSX Te5/15,Transceiver Te5/15,SFP-GE-S,FNS15281JRN,V01
uk-sc1-er01,C6880-X Fan Tray 1,C6880-X-FAN 1,C6880-X-FAN,FOX1929XFZP,V01
uk-sc1-er01,C6880-X-SUP 20 ports 6880-X 16P SFP+ Multi-Rate Rev. 1.2,5,C6880-X-SUP,SAL1933MDVL,none
uk-sc1-er01,C6880-X-PFC Policy Feature Card 4 Rev. 1.2,C6880-X-PFC Policy Feature Card 4 EARL 1 sub-module of 5,C6880-X-PFC,SAL1933MDZ4,none
uk-sc1-er01,Cisco Systems,C6880-X,C6880-X,SAL1935N6YQ,V01
