HOSTNAME,DESCR,NAME,PID,SN,VID
uk-stj-f1c1-sw1,SFP-10GBase-SR,Te1/1/3,SFP-10G-SR,AVD22309E9Y,V03
uk-stj-f1c1-sw1,SFP-10GBase-SR,Te3/1/3,SFP-10G-SR,AVD22309EAY,V03
uk-stj-f1c1-sw1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C2-640WAC,DCB2208B5UW,V03
uk-stj-f1c1-sw1,Switch 4 - Power Supply A,Switch 4 - Power Supply A,PWR-C2-640WAC,DCB2232B1KS,V04
uk-stj-f1c1-sw1,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C2-640WAC,DCB2232B1L2,V04
uk-stj-f1c1-sw1,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C2-640WAC,DCB2232B1L3,V04
uk-stj-f1c1-sw1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C2-640WAC,DCB2232B1MT,V04
uk-stj-f1c1-sw1,WS-C3650-48PD-S,Switch 2,WS-C3650-48PD-S,FDO2215E1NC,V05
uk-stj-f1c1-sw1,WS-C3650-48PD-S,Switch 1,WS-C3650-48PD-S,FDO2220E1S5,V05
uk-stj-f1c1-sw1,c36xx Stack,c36xx Stack,WS-C3650-48PD-S,FDO2220E1S5,V05
uk-stj-f1c1-sw1,WS-C3650-48PD-S,Switch 3,WS-C3650-48PD-S,FDO2220E1TB,V05
uk-stj-f1c1-sw1,WS-C3650-48PD-S,Switch 4,WS-C3650-48PD-S,FDO2220Q1HL,V05
uk-stj-f1c1-sw1,StackAdapter3/1,StackAdapter3/1,C3650-STACK,FDO22221YKC,V01
uk-stj-f1c1-sw1,StackAdapter1/1,StackAdapter1/1,C3650-STACK,FDO222523NK,V01
uk-stj-f1c1-sw1,StackAdapter3/2,StackAdapter3/2,C3650-STACK,FDO222525AY,V01
uk-stj-f1c1-sw1,StackAdapter4/2,StackAdapter4/2,C3650-STACK,FDO222525C4,V01
uk-stj-f1c1-sw1,StackAdapter1/2,StackAdapter1/2,C3650-STACK,FDO222525MN,V01
uk-stj-f1c1-sw1,StackAdapter2/2,StackAdapter2/2,C3650-STACK,FDO222525NB,V01
uk-stj-f1c1-sw1,StackAdapter2/1,StackAdapter2/1,C3650-STACK,FDO22260NW7,V01
uk-stj-f1c1-sw1,StackAdapter4/1,StackAdapter4/1,C3650-STACK,FDO22260P63,V01
uk-stj-f1c1-sw1,StackPort1/1,StackPort1/1,STACK-T2-1M,LCC2213GA07,V03
uk-stj-f1c1-sw1,StackPort4/2,StackPort4/2,STACK-T2-1M,LCC2213GA07,V03
uk-stj-f1c1-sw1,StackPort3/2,StackPort3/2,STACK-T2-50CM,LCC2220GM9P,V03
uk-stj-f1c1-sw1,StackPort4/1,StackPort4/1,STACK-T2-50CM,LCC2220GM9P,V03
uk-stj-f1c1-sw1,StackPort1/2,StackPort1/2,STACK-T2-50CM,LCC2220GMAN,V03
uk-stj-f1c1-sw1,StackPort2/1,StackPort2/1,STACK-T2-50CM,LCC2220GMAN,V03
uk-stj-f1c1-sw1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C2-640WAC,LIT22082SPE,V03
uk-stj-f1c1-sw1,Switch 4 - Power Supply B,Switch 4 - Power Supply B,PWR-C2-640WAC,LIT22082ST3,V03
uk-stj-f1c1-sw1,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C2-640WAC,LIT22082T7H,V03
uk-stj-f1c1-sw1,StackPort2/2,StackPort2/2,STACK-T2-50CM,LRM214211GM,V03
uk-stj-f1c1-sw1,StackPort3/1,StackPort3/1,STACK-T2-50CM,LRM214211GM,V03
