HOSTNAME,DESCR,NAME,PID,SN,VID
uk-thw-rr01,Cisco ASR1001 Route Processor,module R0,ASR1001,JAE182006DK,V03
uk-thw-rr01,Cisco ASR1001 AC Power Supply,Power Supply Module 0,ASR1001-PWR-AC,MP51732037W,V02
uk-thw-rr01,Cisco ASR1001 AC Power Supply,Power Supply Module 1,ASR1001-PWR-AC,MP517320386,V02
uk-thw-rr01,GE T,subslot 0/0 transceiver 0,N/A,MTC18080WDV,E
uk-thw-rr01,GE T,subslot 0/1 transceiver 0,N/A,MTC18080XBJ,E
uk-thw-rr01,2-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/1,SPA-2X1GE-V2,SAL1646SLXZ,V01
uk-thw-rr01,Cisco ASR1001 Chassis w/o IDC,Chassis,ASR1001,SSI180801R2,V03
uk-thw-rr01,4-port Gigabit Ethernet Shared Port Adapter,SPA subslot 0/0,ASR1001,none,none
uk-thw-rr01,Cisco ASR1001 SPA Interface Processor,module 0,ASR1001,none,none
uk-thw-rr01,Cisco ASR1001 Embedded Services Processor,module F0,ASR1001,none,none
