HOSTNAME,DESCR,NAME,PID,SN,VID
us-nj1-cr01,GE LX,subslot 0/0 transceiver 3,,18502820366,1.0
us-nj1-cr01,GE T,subslot 0/0 transceiver 4,SFPC1110,18602050127,1.0
us-nj1-cr01,GE SX,subslot 0/0 transceiver 2,GLC-SX-MMD,FNS222010BD,V01
us-nj1-cr01,Cisco ASR1001-X Chassis,Chassis,ASR1001-X,FXS2222Q0Q0,V03
us-nj1-cr01,Cisco ASR1001-X Route Processor,module R0,ASR1001-X,JAD22070D90,V03
us-nj1-cr01,Cisco ASR1001-X AC Power Supply,Power Supply Module 0,ASR1001-X-PWR-AC,LIT22162DWJ,V02
us-nj1-cr01,Cisco ASR1001-X AC Power Supply,Power Supply Module 1,ASR1001-X-PWR-AC,LIT22162DXW,V02
us-nj1-cr01,Cisco ASR1001-X Fan Tray,Fan Tray,ASR1001-X-FANTRAY,none,none
us-nj1-cr01,Built-in GE SPA with 2 port 10G and 6 port 1G Interfaces,SPA subslot 0/0,BUILT-IN-2T+6X1GE,none,none
us-nj1-cr01,Cisco ASR1001-X SPA Interface Processor,module 0,ASR1001-X,none,none
us-nj1-cr01,Cisco ASR1001-X Embedded Services Processor,module F0,ASR1001-X,none,none
