HOSTNAME,DESCR,NAME,PID,SN,VID
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/10,GLC-SX-MMD,AGJ1932R4Z7,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/4,GLC-SX-MMD,AGJ1932R508,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/5,GLC-SX-MMD,AGJ1932R50E,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/1,GLC-SX-MMD,AGJ1932R50Y,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/9,GLC-SX-MMD,AGJ1932R8LP,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/2,GLC-SX-MMD,AGJ1932R8LX,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/6,GLC-SX-MMD,AGJ1932R8RF,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/7,GLC-SX-MMD,AGJ1932RB0T,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/3,GLC-SX-MMD,AGJ1932RB16,V01
GH-FIBRESWITCH-1,10/100/1000BaseTX SFP,GigabitEthernet1/0/12,,AGM19374C9Z,none
GH-FIBRESWITCH-1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-350WAC,ART1934F58F,V01
GH-FIBRESWITCH-1,1000BaseSX SFP,GigabitEthernet1/0/8,GLC-SX-MMD,FNS184311H2,V01
GH-FIBRESWITCH-1,WS-C3850-12S,Switch 1,WS-C3850-12S,FOC1942X0QP,V02
GH-FIBRESWITCH-1,c3xxx Stack,c3xxx Stack,WS-C3850-12S,FOC1942X0QP,V02
GH-FIBRESWITCH-1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-350WAC,LIT193515VG,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/4,GLC-SX-MMD,AGJ1932R4AJ,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/2,GLC-SX-MMD,AGJ1932R50C,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/5,GLC-SX-MMD,AGJ1932R74Y,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/7,GLC-SX-MMD,AGJ1932R8LT,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/10,GLC-SX-MMD,AGJ1932R8SM,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/3,GLC-SX-MMD,AGJ1932RB0U,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/6,GLC-SX-MMD,AGJ1932RB0W,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/1,GLC-SX-MMD,AGJ1932RB0Y,V01
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/9,GLC-SX-MMD,AGJ1932RB17,V01
GH-FIBRESWITCH-2,10/100/1000BaseTX SFP,GigabitEthernet1/0/12,,AGM19374C9V,none
GH-FIBRESWITCH-2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-350WAC,ART1934F58Q,V01
GH-FIBRESWITCH-2,WS-C3850-12S,Switch 1,WS-C3850-12S,FCW1942F00G,V02
GH-FIBRESWITCH-2,c3xxx Stack,c3xxx Stack,WS-C3850-12S,FCW1942F00G,V02
GH-FIBRESWITCH-2,1000BaseSX SFP,GigabitEthernet1/0/8,,FNS11441MS9,none
GH-FIBRESWITCH-2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-350WAC,LIT193515UN,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/10,GLC-SX-MMD,AGJ1932R4Z7,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/4,GLC-SX-MMD,AGJ1932R508,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/5,GLC-SX-MMD,AGJ1932R50E,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/1,GLC-SX-MMD,AGJ1932R50Y,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/9,GLC-SX-MMD,AGJ1932R8LP,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/2,GLC-SX-MMD,AGJ1932R8LX,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/6,GLC-SX-MMD,AGJ1932R8RF,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/7,GLC-SX-MMD,AGJ1932RB0T,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/3,GLC-SX-MMD,AGJ1932RB16,V01
GH-FIBRESWITCH_1,10/100/1000BaseTX SFP,GigabitEthernet1/0/12,,AGM19374C9Z,none
GH-FIBRESWITCH_1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-350WAC,ART1934F58F,V01
GH-FIBRESWITCH_1,1000BaseSX SFP,GigabitEthernet1/0/8,GLC-SX-MMD,FNS184311H2,V01
GH-FIBRESWITCH_1,WS-C3850-12S,Switch 1,WS-C3850-12S,FOC1942X0QP,V02
GH-FIBRESWITCH_1,c3xxx Stack,c3xxx Stack,WS-C3850-12S,FOC1942X0QP,V02
GH-FIBRESWITCH_1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-350WAC,LIT193515VG,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/4,GLC-SX-MMD,AGJ1932R4AJ,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/2,GLC-SX-MMD,AGJ1932R50C,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/5,GLC-SX-MMD,AGJ1932R74Y,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/7,GLC-SX-MMD,AGJ1932R8LT,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/10,GLC-SX-MMD,AGJ1932R8SM,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/3,GLC-SX-MMD,AGJ1932RB0U,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/6,GLC-SX-MMD,AGJ1932RB0W,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/1,GLC-SX-MMD,AGJ1932RB0Y,V01
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/9,GLC-SX-MMD,AGJ1932RB17,V01
GH-FIBRESWITCH_2,10/100/1000BaseTX SFP,GigabitEthernet1/0/12,,AGM19374C9V,none
GH-FIBRESWITCH_2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-350WAC,ART1934F58Q,V01
GH-FIBRESWITCH_2,WS-C3850-12S,Switch 1,WS-C3850-12S,FCW1942F00G,V02
GH-FIBRESWITCH_2,c3xxx Stack,c3xxx Stack,WS-C3850-12S,FCW1942F00G,V02
GH-FIBRESWITCH_2,1000BaseSX SFP,GigabitEthernet1/0/8,,FNS11441MS9,none
GH-FIBRESWITCH_2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-350WAC,LIT193515UN,V01
GH-WGS-1ST,1000BaseSX SFP,GigabitEthernet3/1/1,Unspecified,AGS091005Q9,none
GH-WGS-1ST,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGS094453VL,none
GH-WGS-1ST,WS-C3750X-48P,3,WS-C3750X-48PF-S,FDO1524R13M,V02
GH-WGS-1ST,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1704X02M,V04
GH-WGS-1ST,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152C9D,V01
GH-WGS-1ST,FRULink 1G Module,Switch 3 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152CZU,V01
GH-WGS-1ST,WS-C3750X-48P,2,WS-C3750X-48P-S,FDO1947F1ED,V07
GH-WGS-1ST,FRU Power Supply,Switch 3 - Power Supply 0,C3KX-PWR-1100WAC,LIT15021KMB,V01L
GH-WGS-1ST,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT17050TT7,V02L
GH-WGS-1ST,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT1708016K,V02L
GH-WGS-1ST,FRU Power Supply,Switch 3 - Power Supply 1,C3KX-PWR-1100WAC,LIT1708017C,V02L
GH-WGS-1ST,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-715WAC,LIT192320QP,V02L
GH-WGS-3RD,1000BaseSX SFP,GigabitEthernet2/1/1,Unspecified,AGS091005MV,none
GH-WGS-3RD,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGS09445BAA,none
GH-WGS-3RD,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1721R2Q4,V05
GH-WGS-3RD,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1721R2U3,V05
GH-WGS-3RD,FRULink 1G Module,Switch 2 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18120FXV,V01
GH-WGS-3RD,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18121FS7,V01
GH-WGS-3RD,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT17180YQ5,V02L
GH-WGS-3RD,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT171810U9,V02L
GH-WGS-3RD,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT171810Z5,V02L
GH-WGS-3RD,FRU Power Supply,Switch 2 - Power Supply 1,C3KX-PWR-1100WAC,LIT1718121G,V02L
GH-WGS-4TH,1000BaseSX SFP,GigabitEthernet3/1/1,Unspecified,AGS091004K0,none
GH-WGS-4TH,WS-C3750X-48P,1,WS-C3750X-48PF-S,FDO1704Z0U2,V04
GH-WGS-4TH,FRULink 1G Module,Switch 1 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO17152CAZ,V01
GH-WGS-4TH,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1721R2MY,V05
GH-WGS-4TH,WS-C3750X-48P,3,WS-C3750X-48PF-S,FDO1750R2AY,V05
GH-WGS-4TH,FRULink 1G Module,Switch 3 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18040J8W,V01
GH-WGS-4TH,FRULink 1G Module,Switch 2 - FRULink Slot 1 - FRULink Module,C3KX-NM-1G,FDO18121EV0,V01
GH-WGS-4TH,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,FNS132910QV,none
GH-WGS-4TH,FRU Power Supply,Switch 1 - Power Supply 0,C3KX-PWR-1100WAC,LIT17040PJ3,V02L
GH-WGS-4TH,FRU Power Supply,Switch 1 - Power Supply 1,C3KX-PWR-1100WAC,LIT1708016P,V02L
GH-WGS-4TH,FRU Power Supply,Switch 2 - Power Supply 1,C3KX-PWR-1100WAC,LIT171810X7,V02L
GH-WGS-4TH,FRU Power Supply,Switch 2 - Power Supply 0,C3KX-PWR-1100WAC,LIT171812S3,V02L
GH-WGS-4TH,FRU Power Supply,Switch 3 - Power Supply 0,C3KX-PWR-1100WAC,LIT172010U7,V02L
GH-WGS-4TH,FRU Power Supply,Switch 3 - Power Supply 1,C3KX-PWR-1100WAC,LIT1720121J,V02L
GH-WGS-5TH,1000BaseSX SFP,GigabitEthernet2/1/1,Unspecified,AGS091005MW,none
GH-WGS-5TH,1000BaseSX SFP,GigabitEthernet1/1/1,Unspecified,AGS091005N3,none
GH-WGS-5TH,WS-C3750X-48P,2,WS-C3750X-48PF-S,FDO1704R0ZZ,V04
