context,allocate-interface,config-url,admin-context
dr-n-frontend,"['Port-channel1.210-Port-channel1.211', 'Port-channel1.230-Port-channel1.231', 'Port-channel1.253-Port-channel1.254', 'Port-channel1.260-Port-channel1.261', 'Port-channel1.264', 'Port-channel1.422']",disk0:/dr-n-frontend-new-LD6.cfg,
pte-c-mgt,"['Port-channel1.1603-Port-channel1.1605', 'Port-channel1.1609-Port-channel1.1610', 'Port-channel1.1620', 'Port-channel1.1675']",disk0:/pte-c-mgt.cfg,
pte-c-frontend,"['Port-channel1.1300-Port-channel1.1302', 'Port-channel1.1323', 'Port-channel1.1334', 'Port-channel1.1362', 'Port-channel1.1671']",disk0:/pte-c-frontend.cfg,
dr-e-wan,"['Port-channel1.571', 'Port-channel1.581', 'Port-channel1.2004']",disk0:/dr-e-wan.cfg,
dr-c-frontend,"['Port-channel1.114-Port-channel1.115', 'Port-channel1.120-Port-channel1.122', 'Port-channel1.134', 'Port-channel1.150', 'Port-channel1.153-Port-channel1.155', 'Port-channel1.160-Port-channel1.163', 'Port-channel1.199', 'Port-channel1.371', 'Port-channel1.421']",disk0:/dr-c-frontend-new-LD6.cfg,
pte-c-fr-cx,"['Port-channel1.1684', 'Port-channel1.1908-Port-channel1.1930', 'Port-channel1.1958-Port-channel1.1980']",disk0:/pte-c-fr-cx.cfg,
cde-mgmt,"['Port-channel1.30', 'Port-channel1.140', 'Port-channel1.2003', 'Port-channel1.2122-Port-channel1.2125']",disk0:/cde-mgmt.cfg,
pte-n-mgt,"['Port-channel1.1641-Port-channel1.1645', 'Port-channel1.1648-Port-channel1.1649', 'Port-channel1.1676']",disk0:/pte-n-mgt.cfg,
pte-r-frontend,"['Port-channel1.1679', 'Port-channel1.1750-Port-channel1.1751', 'Port-channel1.1753', 'Port-channel1.1780']",disk0:/pte-r-frontend.cfg,
dr-c-mgmt,"['Port-channel1.303-Port-channel1.306', 'Port-channel1.308-Port-channel1.311', 'Port-channel1.313', 'Port-channel1.316', 'Port-channel1.318', 'Port-channel1.320-Port-channel1.321', 'Port-channel1.324', 'Port-channel1.334', 'Port-channel1.338-Port-channel1.339', 'Port-channel1.375']",disk0:/dr-c-mgmt.cfg,
production,"['Port-channel1.2000', 'Port-channel1.2200-Port-channel1.2205', 'Port-channel1.2210-Port-channel1.2214']",disk0:/production.cfg,
corp,"['Port-channel1.2001', 'Port-channel1.2220-Port-channel1.2224']",disk0:/corp.cfg,
dr-n-mgmt,"['Port-channel1.341-Port-channel1.345', 'Port-channel1.347', 'Port-channel1.351', 'Port-channel1.361-Port-channel1.363', 'Port-channel1.366', 'Port-channel1.369', 'Port-channel1.376']",disk0:/dr-n-mgmt.cfg,
admin,['Ethernet1/8'],disk0:/admin.cfg,admin
pr-c-fr-cx,"['Port-channel1.384', 'Port-channel1.708-Port-channel1.722', 'Port-channel1.758-Port-channel1.772', 'Port-channel1.2005', 'Port-channel1.2275-Port-channel1.2282', 'Port-channel1.2298-Port-channel1.2305']",disk0:/pr-c-fr-cx.cfg,
pte-n-frontend,"['Port-channel1.1402', 'Port-channel1.1407', 'Port-channel1.1410-Port-channel1.1411', 'Port-channel1.1422', 'Port-channel1.1431', 'Port-channel1.1462', 'Port-channel1.1464', 'Port-channel1.1677']",disk0:/pte-n-frontend.cfg,
retail,"['Port-channel1.2002', 'Port-channel1.2240-Port-channel1.2243']",disk0:/retail.cfg,
