admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.710,10.121.3.1,,pr-cde-app1-lan,255.255.255.0,100
up,,Port-channel1.761,10.121.68.1,,pr-noncde-lan01,255.255.255.0,100
up,,Port-channel1.723,10.121.16.1,,pr-cde-lan09,255.255.255.0,100
up,,Port-channel1.758,10.121.65.1,,pr-noncde-deployment-lan,255.255.255.0,100
up,,Port-channel1.729,10.121.22.1,,pr-cde-lan15,255.255.255.0,100
up,,Port-channel1.722,10.121.15.1,,pr-cde-lan08,255.255.255.0,100
up,,Port-channel1.765,10.121.72.1,,pr-noncde-lan05,255.255.255.0,100
up,,Port-channel1.775,10.121.82.1,,pr-noncde-app6-lan,255.255.255.0,100
up,,Port-channel1.712,10.121.5.1,,pr-cde-api-integration,255.255.255.0,100
up,,Port-channel1.713,10.121.6.1,,pr-cde-ext-pres-lan,255.255.255.0,100
up,,Port-channel1.779,10.121.86.1,,pr-noncde-app10-lan,255.255.255.0,100
up,,Port-channel1.709,10.121.2.1,,pr-cde-web1-lan,255.255.255.0,100
up,,Port-channel1.384,10.120.161.196,,internal-vrf,255.255.255.224,100
up,,Port-channel1.772,10.121.79.1,,pr-noncde-app3-lan,255.255.255.0,100
up,,Port-channel1.715,10.121.8.1,,pr-cde-lan02,255.255.255.0,100
up,,Port-channel1.763,10.121.70.1,,pr-noncde-lan03,255.255.255.0,100
up,,Port-channel1.721,10.121.14.1,,pr-cde-lan07,255.255.255.0,100
up,,Port-channel1.730,10.121.23.1,,pr-cde-lan16,255.255.255.0,100
up,,Port-channel1.727,10.121.20.1,,pr-cde-lan13,255.255.255.0,100
up,,Port-channel1.766,10.121.73.1,,pr-noncde-lan06,255.255.255.0,100
up,,Port-channel1.716,10.121.9.1,,pr-cde-lan03,255.255.255.0,100
up,,Port-channel1.770,10.121.77.1,,pr-noncde-lan10,255.255.255.0,100
up,,Port-channel1.726,10.121.19.1,,pr-cde-lan12,255.255.255.0,100
up,,Port-channel1.773,10.121.80.1,,pr-noncde-app4-lan,255.255.255.0,100
up,,Port-channel1.760,10.121.67.1,,pr-noncde-app1-lan,255.255.255.0,100
up,,Port-channel1.767,10.121.74.1,,pr-noncde-lan07,255.255.255.0,100
up,,Port-channel1.768,10.121.75.1,,pr-noncde-lan08,255.255.255.0,100
up,,Port-channel1.762,10.121.69.1,,pr-noncde-lan02,255.255.255.0,100
up,,Port-channel1.725,10.121.18.1,,pr-cde-lan11,255.255.255.0,100
up,,Port-channel1.759,10.121.66.1,,pr-noncde-web1-lan,255.255.255.0,100
up,,Port-channel1.769,10.121.76.1,,pr-noncde-lan09,255.255.255.0,100
up,,Port-channel1.719,10.121.12.1,,pr-cde-lan05,255.255.255.0,100
up,,Port-channel1.777,10.121.84.1,,pr-noncde-app8-lan,255.255.255.0,100
up,,Port-channel1.764,10.121.71.1,,pr-noncde-lan04,255.255.255.0,100
up,,Port-channel1.720,10.121.13.1,,pr-cde-lan06,255.255.255.0,100
up,,Port-channel1.714,10.121.7.1,,pr-cde-lan01,255.255.255.0,100
up,,Port-channel1.728,10.121.21.1,,pr-cde-lan14,255.255.255.0,100
up,,Port-channel1.774,10.121.81.1,,pr-noncde-app5-lan,255.255.255.0,100
up,,Port-channel1.780,10.121.87.1,,pr-noncde-app11-lan,255.255.255.0,100
up,,Port-channel1.717,10.121.10.1,,pr-cde-front-cx-mgmt,255.255.255.0,100
up,,Port-channel1.778,10.121.85.1,,pr-noncde-app9-lan,255.255.255.0,100
up,,Port-channel1.771,10.121.78.1,,pr-noncde-app2-lan,255.255.255.0,100
up,,Port-channel1.718,10.121.11.1,,pr-cde-lan04,255.255.255.0,100
up,,Port-channel1.711,10.121.4.1,,pr-cde-internal-presentation,255.255.255.0,100
up,,Port-channel1.708,10.121.1.1,,pr-cde-deployment-lan,255.255.255.0,100
up,,Port-channel1.724,10.121.17.1,,pr-cde-lan10,255.255.255.0,100
up,,Port-channel1.776,10.121.83.1,,pr-noncde-app7-lan,255.255.255.0,100
