admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.300,10.120.128.4,,management,255.255.255.0,100
up,,Port-channel1.305,10.120.133.1,,db-mgt,255.255.255.0,100
up,,Port-channel1.334,10.120.143.65,,scanning-dmz,255.255.255.224,100
up,,Port-channel1.375,10.120.160.164,,internal-vrf,255.255.255.224,100
up,,Port-channel1.319,10.120.139.225,,san-mgmt2,255.255.255.224,100
up,,Port-channel1.333,10.120.143.33,,sftp-mgt,255.255.255.224,100
up,,Port-channel1.321,10.120.141.1,,sc1-cde-jumphost-lan,255.255.255.0,100
up,,Port-channel1.302,10.120.130.1,,server-ilo,255.255.255.0,100
up,,Port-channel1.309,10.120.136.1,,bladelogic-dmz,255.255.255.0,100
up,,Port-channel1.329,10.120.142.161,,emc-monitoring-dmz,255.255.255.224,100
up,,Port-channel1.336,10.120.143.129,,Universe_Database_Server,255.255.255.224,100
up,,Port-channel1.323,10.120.80.1,,server-ilo2,255.255.255.0,100
up,,Port-channel1.337,10.120.143.161,,san-mgt,255.255.255.224,100
up,,Port-channel1.320,10.120.140.1,,Stingray-Mgt,255.255.255.0,100
up,,Port-channel1.307,10.120.135.1,,firewall-ilo,255.255.255.128,100
up,,Port-channel1.306,10.120.134.1,,vmhost-mgt,255.255.255.0,100
up,,Port-channel1.303,10.120.131.1,,web-mgt,255.255.255.0,100
up,,Port-channel1.310,10.120.137.1,,cde-backoffice-mgt,255.255.255.0,100
up,,Port-channel1.335,10.120.143.97,,hdr-db-mgt,255.255.255.224,100
up,,Port-channel1.304,10.120.132.1,,app-mgt,255.255.255.0,100
