admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.816,10.122.9.1,,inv-cde-lan03,255.255.255.0,100
up,,Port-channel1.820,10.122.13.1,,inv-cde-lan06,255.255.255.0,100
up,,Port-channel1.865,10.122.72.1,,inv-noncde-lan05,255.255.255.0,100
up,,Port-channel1.870,10.122.77.1,,inv-noncde-lan10,255.255.255.0,100
up,,Port-channel1.862,10.122.69.1,,inv-noncde-lan02,255.255.255.0,100
up,,Port-channel1.811,10.122.4.1,,inv-cde-int-pres-lan,255.255.255.0,100
up,,Port-channel1.812,10.122.5.1,,inv-cde-api-lan,255.255.255.0,100
up,,Port-channel1.815,10.122.8.1,,inv-cde-lan02,255.255.255.0,100
up,,Port-channel1.810,10.122.3.1,,inv-cde-app1-lan,255.255.255.0,100
up,,Port-channel1.868,10.122.75.1,,inv-noncde-lan08,255.255.255.0,100
up,,Port-channel1.867,10.122.74.1,,inv-noncde-lan07,255.255.255.0,100
up,,Port-channel1.821,10.122.14.1,,inv-cde-lan07,255.255.255.0,100
up,,Port-channel1.869,10.122.76.1,,inv-noncde-lan09,255.255.255.0,100
up,,Port-channel1.809,10.122.2.1,,inv-cde-web1-lan,255.255.255.0,100
up,,Port-channel1.822,10.122.15.1,,inv-cde-lan08,255.255.255.0,100
up,,Port-channel1.871,10.122.78.1,,inv-noncde-app2-lan,255.255.255.0,100
up,,Port-channel1.813,10.122.6.1,,inv-cde-ext-pres-lan,255.255.255.0,100
up,,Port-channel1.808,10.122.1.1,,inv-cde-deployment-lan,255.255.255.0,100
up,,Port-channel1.818,10.122.11.1,,inv-cde-lan04,255.255.255.0,100
up,,Port-channel1.814,10.122.7.1,,inv-cde-lan01,255.255.255.0,100
up,,Port-channel1.863,10.122.70.1,,inv-noncde-lan03,255.255.255.0,100
up,,Port-channel1.864,10.122.71.1,,inv-noncde-ext-api,255.255.255.0,100
up,,Port-channel1.817,10.122.10.1,,inv-cde-mgmt-lan,255.255.255.0,100
up,,Port-channel1.860,10.122.67.1,,inv-noncde-app1-lan,255.255.255.0,100
up,,Port-channel1.872,10.122.79.1,,inv-noncde-app3-lan,255.255.255.0,100
up,,Port-channel1.866,10.122.73.1,,inv-noncde-lan06,255.255.255.0,100
up,,Port-channel1.859,10.122.66.1,,inv-noncde-web1-lan,255.255.255.0,100
up,,Port-channel1.819,10.122.12.1,,inv-cde-lan05,255.255.255.0,100
up,,Port-channel1.403,10.120.164.100,,internal-vrf,255.255.255.224,100
up,,Port-channel1.858,10.122.65.1,,inv-noncde-deployment-lan,255.255.255.0,100
up,,Port-channel1.861,10.122.68.1,,inv-noncde-lan01,255.255.255.0,100
