admin-state,description,interface,ip-add,mac-address,nameif,netmask,security-level
up,,Port-channel1.232,10.120.65.65,,property-prod,255.255.255.224,100
up,,Port-channel1.377,10.120.160.228,,internal-vrf,255.255.255.224,100
up,,Port-channel1.218,10.120.69.225,,noncde-sccm,255.255.255.224,100
up,,Port-channel1.203,10.120.64.97,,cobain,255.255.255.224,100
up,,Port-channel1.262,10.120.100.1,,noncde-ods,255.255.255.0,100
up,,Port-channel1.233,10.120.76.1,,corporate-web,255.255.255.0,100
up,,Port-channel1.234,10.120.65.97,,hr-sap,255.255.255.224,100
up,,Port-channel1.264,10.120.102.1,,noncde-cf-app,255.255.255.0,100
up,,Port-channel1.216,10.120.69.99,,cobain-iptv,255.255.255.224,100
up,,Port-channel1.202,10.120.64.65,,noncde-app,255.255.255.224,100
up,,Port-channel1.231,10.120.74.1,,int-lb,255.255.254.0,100
up,,Port-channel1.222,10.120.72.1,,noncde-cf-web,255.255.255.0,100
up,,Port-channel1.223,10.120.70.1,,vmware-esc,255.255.255.224,100
up,,Port-channel1.201,10.120.64.33,,noncde-backoffice,255.255.255.224,100
up,,Port-channel1.213,10.120.69.1,,noncde-webcache,255.255.255.224,100
up,,Port-channel1.204,10.120.64.129,,noncde-finance-prod,255.255.255.224,100
up,,Port-channel1.207,10.120.64.225,,non-cde-app2,255.255.255.224,100
up,,Port-channel1.214,10.120.69.33,,BACS,255.255.255.224,100
up,,Port-channel1.205,10.120.64.161,,noncde-finance-test,255.255.255.224,100
up,,Port-channel1.219,10.120.69.193,,citrix_netscaler,255.255.255.224,100
up,,Port-channel1.200,10.120.64.1,,noncde-web,255.255.255.224,100
up,,Port-channel1.263,10.120.101.1,,trading-dmz,255.255.255.224,100
