context,allocate-interface,config-url,admin-context
pr-c-mgt,"['Port-channel1.300', 'Port-channel1.302-Port-channel1.307', 'Port-channel1.309-Port-channel1.310', 'Port-channel1.319-Port-channel1.321', 'Port-channel1.323', 'Port-channel1.329', 'Port-channel1.333-Port-channel1.337', 'Port-channel1.375']",disk0:/pr-c-mgt.cfg,
pr-n-frontend,"['Port-channel1.200-Port-channel1.205', 'Port-channel1.207', 'Port-channel1.213-Port-channel1.214', 'Port-channel1.216', 'Port-channel1.218-Port-channel1.219', 'Port-channel1.222-Port-channel1.223', 'Port-channel1.231-Port-channel1.234', 'Port-channel1.262-Port-channel1.264', 'Port-channel1.377']",disk0:/pr-n-frontend.cfg,
pr-e-internal,"['Port-channel1.383', 'Port-channel1.398-Port-channel1.399']",disk0:/pr-e-internal.cfg,
pr-inv-fr-cx,"['Port-channel1.403', 'Port-channel1.808-Port-channel1.822', 'Port-channel1.858-Port-channel1.872']",disk0:/pr-inv-fr-cx.cfg,
pr-r-backend,"['Port-channel1.380', 'Port-channel1.460-Port-channel1.461', 'Port-channel1.480', 'Port-channel1.539']",disk0:/pr-r-backend.cfg,
pr-r-frontend,"['Port-channel1.379', 'Port-channel1.443', 'Port-channel1.446', 'Port-channel1.451', 'Port-channel1.453', 'Port-channel1.522', 'Port-channel1.532', 'Port-channel1.536']",disk0:/pr-r-frontend.cfg,
pr-e-wan,"['Port-channel1.381', 'Port-channel1.502', 'Port-channel1.507', 'Port-channel1.571']",disk0:/pr-e-wan.cfg,
pr-n-mgt,"['Port-channel1.340-Port-channel1.345', 'Port-channel1.347-Port-channel1.349', 'Port-channel1.353', 'Port-channel1.362', 'Port-channel1.364-Port-channel1.365', 'Port-channel1.368', 'Port-channel1.376']",disk0:/pr-n-mgt.cfg,
pr-c-fr-cx,"['Port-channel1.384', 'Port-channel1.708-Port-channel1.730', 'Port-channel1.758-Port-channel1.780']",disk0:/pr-c-fr-cx.cfg,
pr-r-mgt,"['Port-channel1.378', 'Port-channel1.452', 'Port-channel1.485-Port-channel1.486', 'Port-channel1.492']",disk0:/pr-r-mgt.cfg,
pr-c-frontend,"['Port-channel1.100-Port-channel1.102', 'Port-channel1.115', 'Port-channel1.123', 'Port-channel1.134', 'Port-channel1.140', 'Port-channel1.154', 'Port-channel1.162', 'Port-channel1.371']",disk0:/pr-c-frontend.cfg,
admin,['Ethernet1/8'],disk0:/admin.cfg,admin
