IP ADD,Location
10.96.129.8,Wetherby Unit 1 RC 
10.96.129.10,Thirsk Unit 1 RC 
10.96.129.12,Statue LBO 
10.96.129.13,Hudsons LBO 
10.96.129.15,Chanterlands LBO 
10.96.129.16,Greenwood LBO 
10.96.129.17,Hessle Road LBO 
10.96.129.18,Spring Bank LBO 
10.96.129.19,West Hull LBO 
10.96.129.20,Nightjar LBO 
10.96.129.21,Holderness LBO 
10.96.129.23,Paragon LBO 
10.96.129.24,Sutton LBO 
10.96.129.26,Shannon Street LBO 
10.96.129.27,West Park LBO 
10.96.129.29,Newlands LBO 
10.96.129.31,Anlaby LBO 
10.96.129.34,Marfleet LBO 
10.96.129.35,Mollison LBO 
10.96.129.36,Orchard LBO 
10.96.129.37,Samman LBO 
10.96.129.38,Bath Street LBO 
10.96.129.39,Burrard Street LBO 
10.96.129.40,New Street LBO 
10.96.129.41,Poonah Road LBO 
10.96.129.42,Charing Cross LBO 
10.96.129.43,Five Oaks LBO 
10.96.129.44,St Aubin LBO 
10.96.129.45,Redhouses LBO 
10.96.129.48,Ripon Unit 1 RC 
10.96.129.50,Ripon Unit 4 RC 
10.96.129.51,Conway Street LBO 
10.96.129.52,Goodwood Unit 1 RC 
10.96.129.53,Goodwood Unit 2 RC 
10.96.129.54,Goodwood Unit 3 RC 
10.96.129.58,Beverley RC 
10.96.129.73,Celtic Football Stadium Unit 1 
10.96.129.74,Celtic Football Stadium Unit 2 
10.96.129.75,Celtic Football Stadium Unit 3 
10.96.129.76,Celtic Football Stadium Unit 4 
10.96.129.77,Celtic Football Stadium Unit 5 
10.96.129.78,Celtic Football Stadium Unit 6 
10.96.129.79,Celtic Football Stadium Unit 7 
10.96.129.80,Celtic Football Stadium Unit 8 
10.96.129.81,Celtic Football Stadium Unit 9 
10.96.129.82,Celtic Football Stadium Unit 10 
10.96.129.83,Aston Villa Football Stadium Unit 1 
10.96.129.84,Aston Villa Football Stadium Unit 2 
10.96.129.85,Aston Villa Football Stadium Unit 3 
10.96.129.86,Aston Villa Football Stadium Unit 4 
10.96.129.87,Aston Villa Football Stadium Unit 5 
10.96.129.88,Aston Villa Football Stadium Unit 6 
10.96.129.89,Aston Villa Football Stadium Unit 7 
10.96.129.90,Aston Villa Football Stadium Unit 8 
10.96.129.91,Aston Villa Football Stadium Unit 9 
10.96.129.92,Aston Villa Football Stadium Unit 10 
10.96.129.93,Aston Villa Football Stadium Unit 11 
10.96.129.94,Aston Villa Football Stadium Unit 12 
10.96.129.95,Aston Villa Football Stadium Unit 13 
10.96.129.96,Celtic Football Stadium 11
10.96.129.97,Celtic Football Stadium 12
10.96.129.98,Celtic Football Stadium 13
10.96.129.99,Celtic Football Stadium 14
