rule,display name,action,source,dest,service
4095,WHC-PP to ireppnapsg01,ALLOW,"10.193.0.0/16","10.156.5.10","UDP/4045
UDP/111
UDP/138
UDP/2049
UDP/137
UDP/1110
UDP/4049
UDP/4046
UDP/635
TCP/4046
TCP/111
TCP/4049
TCP/635
TCP/2049
TCP/445
TCP/139
TCP/4045
TCP/1110"
8191,Any to  ireppnapsg01,ALLOW,"ANY","10.156.5.10","ANY"
16383,ireppnapsg01 to Any,ALLOW,"10.156.5.10","ANY","ANY"
32767,Any to S3,ALLOW,"ANY","52.218.0.0/17
54.231.128.0/19","TCP/80"
65535,S3 to Any,ALLOW,"52.218.0.0/17
54.231.128.0/19","ANY","TCP/80"
131071,Allow All to DFW,ALLOW,"ANY","ANY","ANY"
133119,NETAR-1476,ALLOW,"100.73.245.0/24
100.73.246.0/24
100.73.244.0/24","ANY","TCP/1514
TCP/55000
TCP/1515"
135167,NETAR-1476,ALLOW,"ANY","100.73.245.0/24
100.73.246.0/24
100.73.244.0/24","TCP/1514
TCP/55000
TCP/1515"
139263,whc-pp to aws dub,ALLOW,"ANY","100.79.48.0/20
100.75.96.0/20
100.73.176.0/20
100.72.48.0/20
100.72.224.0/20
100.74.112.0/20
100.74.96.0/20
100.72.240.0/20
100.81.32.0/20
100.75.116.0/22
100.74.176.0/20
100.73.48.0/20
100.77.176.0/20
100.74.48.0/20
100.74.224.0/20
100.77.32.0/20
100.75.32.0/20
100.72.176.0/20
100.75.112.0/22
100.76.176.0/20
100.76.48.0/20","ANY"
147455,aws dub to whc-pp,ALLOW,"100.79.48.0/20
100.75.96.0/20
100.73.176.0/20
100.72.48.0/20
100.72.224.0/20
100.74.112.0/20
100.74.96.0/20
100.72.240.0/20
100.81.32.0/20
100.75.116.0/22
100.74.176.0/20
100.73.48.0/20
100.77.176.0/20
100.74.48.0/20
100.74.224.0/20
100.77.32.0/20
100.75.32.0/20
100.72.176.0/20
100.75.112.0/22
100.76.176.0/20
100.76.48.0/20","ANY","ANY"
