rule,display name,action,source,dest,service
5,HCX Out,ALLOW,"10.126.190.23/32","ANY","ANY"
10,ESXI Inbound,ALLOW,"10.191.0.0/16
10.208.0.0/16
10.195.0.0/16
10.193.0.0/16","10.126.178.0/24
10.126.177.0/24","TCP/443"
20,Outbound vSphere Replication,ALLOW,"10.126.190.104/32","10.201.226.0/24
10.210.10.0/23","ANY"
30,Outbound SRM,ALLOW,"10.126.190.105/32","10.201.226.0/24
10.210.10.0/23","ANY"
40,vSphere Replication,ALLOW,"192.168.48.0/20
10.180.18.0/23
10.1.62.0/23
10.180.116.0/22
10.1.70.0/23
10.123.12.0/23
10.56.14.0/23
10.180.20.0/23
10.123.140.0/23
192.168.12.0/22
10.53.32.0/23
10.56.12.0/23
10.1.82.0/23
10.1.112.0/23
10.1.52.0/23
10.1.66.0/23
10.1.86.0/23
10.55.0.0/16
10.1.58.0/23
192.168.16.0/22
10.1.144.0/23
10.123.160.0/22
10.1.108.0/23
10.180.17.0/24
10.123.116.0/22
192.168.0.0/21
10.1.56.0/23
10.56.10.0/23","10.126.190.104/32","TCP/443
TCP/8043
TCP/31031
TCP/32032
TCP/44046"
50,SRM - Management,ALLOW,"192.168.48.0/20
10.180.18.0/23
10.1.62.0/23
10.180.116.0/22
10.1.70.0/23
10.123.12.0/23
10.56.14.0/23
10.180.20.0/23
10.123.140.0/23
192.168.12.0/22
10.53.32.0/23
10.56.12.0/23
10.1.82.0/23
10.1.112.0/23
10.1.52.0/23
10.1.66.0/23
10.1.86.0/23
10.55.0.0/16
10.1.58.0/23
192.168.16.0/22
10.1.144.0/23
10.123.160.0/22
10.1.108.0/23
10.180.17.0/24
10.123.116.0/22
192.168.0.0/21
10.1.56.0/23
10.56.10.0/23","10.126.190.105/32","TCP/443
TCP/9086"
60,HCX,ALLOW,"192.168.48.0/20
10.180.18.0/23
10.1.62.0/23
10.180.116.0/22
10.1.70.0/23
10.123.12.0/23
10.56.14.0/23
10.180.20.0/23
10.123.140.0/23
192.168.12.0/22
10.53.32.0/23
10.56.12.0/23
10.1.82.0/23
10.1.112.0/23
10.1.52.0/23
10.1.66.0/23
10.1.86.0/23
10.55.0.0/16
10.1.58.0/23
192.168.16.0/22
10.1.144.0/23
10.123.160.0/22
10.1.108.0/23
10.180.17.0/24
10.123.116.0/22
192.168.0.0/21
10.1.56.0/23
10.56.10.0/23","10.126.190.23/32","ICMP"
70,VMRC,ALLOW,"192.168.48.0/20
10.180.18.0/23
10.1.62.0/23
10.180.116.0/22
10.1.70.0/23
10.123.12.0/23
10.56.14.0/23
10.180.20.0/23
10.123.140.0/23
192.168.12.0/22
10.53.32.0/23
10.56.12.0/23
10.1.82.0/23
10.1.112.0/23
10.1.52.0/23
10.1.66.0/23
10.1.86.0/23
10.55.0.0/16
10.1.58.0/23
192.168.16.0/22
10.1.144.0/23
10.123.160.0/22
10.1.108.0/23
10.180.17.0/24
10.123.116.0/22
192.168.0.0/21
10.1.56.0/23
10.56.10.0/23","10.126.178.0/24
10.126.177.0/24","TCP/902"
75,SNOW vCenter Inbound Rule,ALLOW,"10.120.163.44","10.126.190.4/32","ICMP
ICMP"
80,vCenter Inbound Rule,ALLOW,"192.168.48.0/20
10.180.18.0/23
10.1.62.0/23
10.180.116.0/22
10.1.70.0/23
10.123.12.0/23
10.56.14.0/23
10.180.20.0/23
10.123.140.0/23
192.168.12.0/22
10.53.32.0/23
10.56.12.0/23
10.1.82.0/23
10.1.112.0/23
10.1.52.0/23
10.1.66.0/23
10.1.86.0/23
10.55.0.0/16
10.1.58.0/23
192.168.16.0/22
10.1.144.0/23
10.123.160.0/22
10.1.108.0/23
10.180.17.0/24
10.123.116.0/22
192.168.0.0/21
10.1.56.0/23
10.56.10.0/23","10.126.190.4/32","ICMP
ICMP"
2050,NSX Inbound Rule,ALLOW,"10.156.5.62/32","10.126.188.6/32
10.126.188.5/32
10.126.188.4/32
10.126.188.3/32","TCP/443"
2293,pp mgmt to vCenter,ALLOW,"10.156.5.32/27","10.126.190.4/32","TCP/443"
2537,pp mgmt to vCenter,ALLOW,"10.156.5.32/27","10.126.178.0/24
10.126.177.0/24","TCP/902"
3025,vROps Proxy to vCenter,ALLOW,"10.156.5.50","10.126.190.4/32","TCP/443"
